registration_id,student_id,section_id,term_id,school_id,program_id,course_code,section_number,registration_date,registration_status,credit_hours,grade_mode,student_type,residency_status,admit_school_id,admit_program_id,modality,capacity
REG000034,STU00004,SEC00080,2025WI,SCH02,PRG0201,0201-200,02,2024-12-26,Registered,3.0,Audit,Continuing,Out of State,SCH02,PRG0201,Hybrid,32
REG000035,STU00004,SEC00367,2026SU,SCH02,PRG0201,0201-150,01,2026-04-19,Registered,3.0,Letter,Continuing,Out of State,SCH02,PRG0201,Online,26
REG000036,STU00004,SEC00368,2026SU,SCH02,PRG0201,0201-200,02,2026-04-14,Registered,3.0,Letter,Continuing,Out of State,SCH02,PRG0201,Online,33
REG000037,STU00005,SEC00009,2024FA,SCH02,PRG0202,0202-150,01,2024-08-08,Registered,3.0,Audit,First Time,In State,SCH02,PRG0202,In Person,29
REG000038,STU00005,SEC00010,2024FA,SCH02,PRG0202,0202-200,02,2024-08-09,Registered,3.0,Pass Fail,First Time,In State,SCH02,PRG0202,Hybrid,37
REG000039,STU00005,SEC00225,2025FA,SCH02,PRG0202,0202-150,01,2025-08-02,Registered,3.0,Letter,First Time,In State,SCH02,PRG0202,Hybrid,39
REG000040,STU00005,SEC00226,2025FA,SCH02,PRG0202,0202-200,02,2025-07-24,Registered,3.0,Pass Fail,First Time,In State,SCH02,PRG0202,In Person,31
REG000041,STU00005,SEC00153,2025SU,SCH02,PRG0202,0202-150,01,2025-04-29,Registered,3.0,Audit,First Time,In State,SCH02,PRG0202,Hybrid,29
REG000042,STU00005,SEC00154,2025SU,SCH02,PRG0202,0202-200,02,2025-04-16,Registered,3.0,Letter,First Time,In State,SCH02,PRG0202,Online,35
REG000043,STU00005,SEC00081,2025WI,SCH02,PRG0202,0202-150,01,2024-12-13,Registered,3.0,Audit,First Time,In State,SCH02,PRG0202,Hybrid,31
REG000044,STU00005,SEC00082,2025WI,SCH02,PRG0202,0202-200,02,2024-12-24,Registered,3.0,Audit,First Time,In State,SCH02,PRG0202,In Person,42
REG000045,STU00005,SEC00298,2026WI,SCH02,PRG0202,0202-200,02,2025-12-19,Withdrawn,3.0,Pass Fail,First Time,In State,SCH02,PRG0202,In Person,39
REG000046,STU00005,SEC00297,2026WI,SCH02,PRG0202,0202-150,01,2025-12-08,Registered,3.0,Audit,First Time,In State,SCH02,PRG0202,In Person,24
REG000047,STU00006,SEC00227,2025FA,SCH02,PRG0203,0203-150,01,2025-08-12,Registered,3.0,Pass Fail,Transfer,International,SCH02,PRG0203,Online,25
REG000048,STU00006,SEC00228,2025FA,SCH02,PRG0203,0203-200,02,2025-08-17,Registered,3.0,Audit,Transfer,International,SCH02,PRG0203,Online,35
REG000049,STU00006,SEC00084,2025WI,SCH02,PRG0203,0203-200,02,2024-12-24,Registered,3.0,Pass Fail,Transfer,International,SCH02,PRG0203,Online,28
REG000050,STU00006,SEC00083,2025WI,SCH02,PRG0203,0203-150,01,2024-12-30,Registered,3.0,Letter,Transfer,International,SCH02,PRG0203,Online,41
REG000051,STU00006,SEC00372,2026SU,SCH02,PRG0203,0203-200,02,2026-04-26,Registered,3.0,Audit,Transfer,International,SCH02,PRG0203,Hybrid,37
REG000052,STU00006,SEC00371,2026SU,SCH02,PRG0203,0203-150,01,2026-04-19,Registered,3.0,Audit,Transfer,International,SCH02,PRG0203,Hybrid,34
REG000053,STU00006,SEC00300,2026WI,SCH02,PRG0203,0203-200,02,2025-12-10,Registered,3.0,Pass Fail,Transfer,International,SCH02,PRG0203,Hybrid,35
REG000054,STU00006,SEC00299,2026WI,SCH02,PRG0203,0203-150,01,2025-12-10,Dropped,0.0,Audit,Transfer,International,SCH02,PRG0203,Hybrid,26
REG000055,STU00007,SEC00014,2024FA,SCH03,PRG0301,0301-200,02,2024-08-13,Registered,3.0,Audit,Continuing,International,SCH03,PRG0301,Online,35
REG000056,STU00007,SEC00013,2024FA,SCH03,PRG0301,0301-150,01,2024-08-05,Registered,3.0,Audit,Continuing,International,SCH03,PRG0301,Online,36
REG000057,STU00007,SEC00230,2025FA,SCH03,PRG0301,0301-200,02,2025-08-11,Registered,3.0,Letter,Continuing,International,SCH03,PRG0301,Hybrid,30
REG000058,STU00007,SEC00229,2025FA,SCH03,PRG0301,0301-150,01,2025-08-06,Registered,3.0,Letter,Continuing,International,SCH03,PRG0301,Hybrid,42
REG000059,STU00007,SEC00158,2025SU,SCH03,PRG0301,0301-200,02,2025-04-27,Registered,3.0,Audit,Continuing,International,SCH03,PRG0301,Hybrid,40
REG000060,STU00007,SEC00157,2025SU,SCH03,PRG0301,0301-150,01,2025-05-02,Registered,3.0,Letter,Continuing,International,SCH03,PRG0301,Hybrid,27
REG000061,STU00007,SEC00086,2025WI,SCH03,PRG0301,0301-200,02,2025-01-02,Registered,3.0,Audit,Continuing,International,SCH03,PRG0301,Hybrid,31
REG000062,STU00007,SEC00085,2025WI,SCH03,PRG0301,0301-150,01,2025-01-01,Registered,3.0,Pass Fail,Continuing,International,SCH03,PRG0301,Hybrid,41
REG000063,STU00007,SEC00373,2026SU,SCH03,PRG0301,0301-150,01,2026-04-16,Withdrawn,3.0,Audit,Continuing,International,SCH03,PRG0301,In Person,42
REG000064,STU00007,SEC00374,2026SU,SCH03,PRG0301,0301-200,02,2026-04-22,Registered,3.0,Letter,Continuing,International,SCH03,PRG0301,Hybrid,36
REG000065,STU00007,SEC00301,2026WI,SCH03,PRG0301,0301-150,01,2025-12-13,Withdrawn,3.0,Pass Fail,Continuing,International,SCH03,PRG0301,In Person,36
REG000066,STU00007,SEC00302,2026WI,SCH03,PRG0301,0301-200,02,2025-12-11,Registered,3.0,Audit,Continuing,International,SCH03,PRG0301,In Person,33
REG000067,STU00008,SEC00016,2024FA,SCH03,PRG0302,0302-200,02,2024-08-01,Registered,3.0,Pass Fail,Transfer,In State,SCH03,PRG0302,Hybrid,33
REG000068,STU00008,SEC00015,2024FA,SCH03,PRG0302,0302-150,01,2024-08-02,Registered,3.0,Letter,Transfer,In State,SCH03,PRG0302,Hybrid,26
REG000069,STU00008,SEC00232,2025FA,SCH03,PRG0302,0302-200,02,2025-08-16,Withdrawn,3.0,Audit,Transfer,In State,SCH03,PRG0302,Online,37
REG000070,STU00008,SEC00231,2025FA,SCH03,PRG0302,0302-150,01,2025-08-16,Registered,3.0,Audit,Transfer,In State,SCH03,PRG0302,Hybrid,29
REG000071,STU00008,SEC00159,2025SU,SCH03,PRG0302,0302-150,01,2025-04-29,Registered,3.0,Pass Fail,Transfer,In State,SCH03,PRG0302,Online,32
REG000072,STU00008,SEC00160,2025SU,SCH03,PRG0302,0302-200,02,2025-04-20,Registered,3.0,Pass Fail,Transfer,In State,SCH03,PRG0302,In Person,31
REG000073,STU00008,SEC00304,2026WI,SCH03,PRG0302,0302-200,02,2026-01-02,Registered,3.0,Letter,Transfer,In State,SCH03,PRG0302,In Person,34
REG000074,STU00008,SEC00303,2026WI,SCH03,PRG0302,0302-150,01,2026-01-02,Registered,3.0,Letter,Transfer,In State,SCH03,PRG0302,In Person,33
REG000075,STU00009,SEC00017,2024FA,SCH03,PRG0303,0303-150,01,2024-07-26,Registered,3.0,Audit,First Time,International,SCH03,PRG0303,Online,30
REG000076,STU00009,SEC00018,2024FA,SCH03,PRG0303,0303-200,02,2024-08-05,Registered,3.0,Letter,First Time,International,SCH03,PRG0303,Hybrid,28
REG000077,STU00009,SEC00234,2025FA,SCH03,PRG0303,0303-200,02,2025-08-14,Registered,3.0,Pass Fail,First Time,International,SCH03,PRG0303,Online,28
REG000078,STU00009,SEC00233,2025FA,SCH03,PRG0303,0303-150,01,2025-07-27,Registered,3.0,Audit,First Time,International,SCH03,PRG0303,In Person,26
REG000079,STU00009,SEC00162,2025SU,SCH03,PRG0303,0303-200,02,2025-04-08,Registered,3.0,Letter,First Time,International,SCH03,PRG0303,In Person,32
REG000080,STU00009,SEC00161,2025SU,SCH03,PRG0303,0303-150,01,2025-04-20,Registered,3.0,Audit,First Time,International,SCH03,PRG0303,Hybrid,25
REG000081,STU00009,SEC00089,2025WI,SCH03,PRG0303,0303-150,01,2024-12-26,Registered,3.0,Letter,First Time,International,SCH03,PRG0303,Hybrid,29
REG000082,STU00009,SEC00090,2025WI,SCH03,PRG0303,0303-200,02,2024-12-20,Registered,3.0,Pass Fail,First Time,International,SCH03,PRG0303,Online,24
REG000083,STU00009,SEC00378,2026SU,SCH03,PRG0303,0303-200,02,2026-04-20,Registered,3.0,Audit,First Time,International,SCH03,PRG0303,Online,27
REG000084,STU00009,SEC00377,2026SU,SCH03,PRG0303,0303-150,01,2026-05-03,Registered,3.0,Letter,First Time,International,SCH03,PRG0303,Hybrid,33
REG000085,STU00009,SEC00305,2026WI,SCH03,PRG0303,0303-150,01,2025-12-22,Registered,3.0,Letter,First Time,International,SCH03,PRG0303,In Person,24
REG000086,STU00009,SEC00306,2026WI,SCH03,PRG0303,0303-200,02,2025-12-16,Registered,3.0,Pass Fail,First Time,International,SCH03,PRG0303,Online,24
REG000087,STU00010,SEC00020,2024FA,SCH04,PRG0401,0401-200,02,2024-08-06,Registered,3.0,Audit,First Time,International,SCH04,PRG0401,Hybrid,35
REG000088,STU00010,SEC00019,2024FA,SCH04,PRG0401,0401-150,01,2024-08-12,Dropped,0.0,Letter,First Time,International,SCH04,PRG0401,Hybrid,39
REG000089,STU00010,SEC00235,2025FA,SCH04,PRG0401,0401-150,01,2025-08-14,Registered,3.0,Letter,First Time,International,SCH04,PRG0401,In Person,34
REG000090,STU00010,SEC00236,2025FA,SCH04,PRG0401,0401-200,02,2025-08-13,Registered,3.0,Letter,First Time,International,SCH04,PRG0401,In Person,34
REG000091,STU00010,SEC00164,2025SU,SCH04,PRG0401,0401-200,02,2025-04-16,Registered,3.0,Pass Fail,First Time,International,SCH04,PRG0401,Online,41
REG000092,STU00010,SEC00163,2025SU,SCH04,PRG0401,0401-150,01,2025-04-25,Registered,3.0,Audit,First Time,International,SCH04,PRG0401,In Person,40
REG000093,STU00010,SEC00091,2025WI,SCH04,PRG0401,0401-150,01,2024-12-18,Registered,3.0,Audit,First Time,International,SCH04,PRG0401,Online,25
REG000094,STU00010,SEC00092,2025WI,SCH04,PRG0401,0401-200,02,2025-01-02,Registered,3.0,Letter,First Time,International,SCH04,PRG0401,Hybrid,27
REG000095,STU00010,SEC00380,2026SU,SCH04,PRG0401,0401-200,02,2026-04-29,Registered,3.0,Pass Fail,First Time,International,SCH04,PRG0401,Hybrid,32
REG000096,STU00010,SEC00379,2026SU,SCH04,PRG0401,0401-150,01,2026-05-01,Registered,3.0,Pass Fail,First Time,International,SCH04,PRG0401,In Person,24
REG000097,STU00010,SEC00307,2026WI,SCH04,PRG0401,0401-150,01,2025-12-27,Registered,3.0,Letter,First Time,International,SCH04,PRG0401,In Person,37
REG000098,STU00010,SEC00308,2026WI,SCH04,PRG0401,0401-200,02,2025-12-21,Registered,3.0,Audit,First Time,International,SCH04,PRG0401,In Person,37
REG000099,STU00011,SEC00022,2024FA,SCH04,PRG0402,0402-200,02,2024-07-22,Registered,3.0,Audit,First Time,International,SCH04,PRG0402,Online,40
REG000100,STU00011,SEC00021,2024FA,SCH04,PRG0402,0402-150,01,2024-07-27,Registered,3.0,Audit,First Time,International,SCH04,PRG0402,Online,37
REG000101,STU00011,SEC00238,2025FA,SCH04,PRG0402,0402-200,02,2025-08-03,Registered,3.0,Letter,First Time,International,SCH04,PRG0402,Hybrid,30
REG000102,STU00011,SEC00237,2025FA,SCH04,PRG0402,0402-150,01,2025-08-06,Registered,3.0,Audit,First Time,International,SCH04,PRG0402,In Person,26
REG000103,STU00011,SEC00165,2025SU,SCH04,PRG0402,0402-150,01,2025-04-15,Registered,3.0,Pass Fail,First Time,International,SCH04,PRG0402,In Person,25
REG000104,STU00011,SEC00166,2025SU,SCH04,PRG0402,0402-200,02,2025-04-17,Registered,3.0,Letter,First Time,International,SCH04,PRG0402,In Person,34
REG000105,STU00011,SEC00093,2025WI,SCH04,PRG0402,0402-150,01,2024-12-09,Registered,3.0,Audit,First Time,International,SCH04,PRG0402,Hybrid,38
REG000106,STU00011,SEC00094,2025WI,SCH04,PRG0402,0402-200,02,2024-12-24,Registered,3.0,Letter,First Time,International,SCH04,PRG0402,In Person,34
REG000107,STU00011,SEC00382,2026SU,SCH04,PRG0402,0402-200,02,2026-04-17,Registered,3.0,Pass Fail,First Time,International,SCH04,PRG0402,Hybrid,34
REG000108,STU00011,SEC00381,2026SU,SCH04,PRG0402,0402-150,01,2026-04-17,Withdrawn,3.0,Letter,First Time,International,SCH04,PRG0402,Hybrid,27
REG000109,STU00011,SEC00309,2026WI,SCH04,PRG0402,0402-150,01,2025-12-17,Registered,3.0,Audit,First Time,International,SCH04,PRG0402,Hybrid,29
REG000110,STU00011,SEC00310,2026WI,SCH04,PRG0402,0402-200,02,2025-12-14,Registered,3.0,Audit,First Time,International,SCH04,PRG0402,Hybrid,34
REG000111,STU00012,SEC00023,2024FA,SCH04,PRG0403,0403-150,01,2024-08-07,Registered,3.0,Pass Fail,Transfer,Out of State,SCH04,PRG0403,In Person,36
REG000112,STU00012,SEC00024,2024FA,SCH04,PRG0403,0403-200,02,2024-08-15,Registered,3.0,Audit,Transfer,Out of State,SCH04,PRG0403,In Person,24
REG000113,STU00012,SEC00240,2025FA,SCH04,PRG0403,0403-200,02,2025-08-16,Registered,3.0,Letter,Transfer,Out of State,SCH04,PRG0403,Online,37
REG000114,STU00012,SEC00239,2025FA,SCH04,PRG0403,0403-150,01,2025-07-29,Registered,3.0,Audit,Transfer,Out of State,SCH04,PRG0403,Hybrid,41
REG000115,STU00012,SEC00168,2025SU,SCH04,PRG0403,0403-200,02,2025-05-01,Registered,3.0,Audit,Transfer,Out of State,SCH04,PRG0403,Online,38
REG000116,STU00012,SEC00167,2025SU,SCH04,PRG0403,0403-150,01,2025-05-02,Registered,3.0,Pass Fail,Transfer,Out of State,SCH04,PRG0403,Hybrid,39
REG000117,STU00012,SEC00096,2025WI,SCH04,PRG0403,0403-200,02,2024-12-16,Registered,3.0,Pass Fail,Transfer,Out of State,SCH04,PRG0403,In Person,41
REG000118,STU00012,SEC00095,2025WI,SCH04,PRG0403,0403-150,01,2024-12-11,Registered,3.0,Pass Fail,Transfer,Out of State,SCH04,PRG0403,In Person,35
REG000119,STU00012,SEC00311,2026WI,SCH04,PRG0403,0403-150,01,2025-12-15,Registered,3.0,Pass Fail,Transfer,Out of State,SCH04,PRG0403,Hybrid,27
REG000120,STU00012,SEC00312,2026WI,SCH04,PRG0403,0403-200,02,2025-12-25,Registered,3.0,Audit,Transfer,Out of State,SCH04,PRG0403,Online,31
REG000121,STU00013,SEC00026,2024FA,SCH05,PRG0501,0501-200,02,2024-08-03,Registered,3.0,Letter,Continuing,In State,SCH05,PRG0501,Online,41
REG000122,STU00013,SEC00025,2024FA,SCH05,PRG0501,0501-150,01,2024-08-09,Registered,3.0,Pass Fail,Continuing,In State,SCH05,PRG0501,In Person,30
REG000123,STU00013,SEC00242,2025FA,SCH05,PRG0501,0501-200,02,2025-07-22,Registered,3.0,Letter,Continuing,In State,SCH05,PRG0501,Online,41
REG000124,STU00013,SEC00241,2025FA,SCH05,PRG0501,0501-150,01,2025-07-31,Registered,3.0,Pass Fail,Continuing,In State,SCH05,PRG0501,Hybrid,42
REG000125,STU00013,SEC00098,2025WI,SCH05,PRG0501,0501-200,02,2024-12-13,Registered,3.0,Audit,Continuing,In State,SCH05,PRG0501,Hybrid,39
REG000126,STU00013,SEC00097,2025WI,SCH05,PRG0501,0501-150,01,2024-12-31,Registered,3.0,Audit,Continuing,In State,SCH05,PRG0501,Online,27
REG000127,STU00013,SEC00385,2026SU,SCH05,PRG0501,0501-150,01,2026-04-12,Registered,3.0,Pass Fail,Continuing,In State,SCH05,PRG0501,Online,42
REG000128,STU00013,SEC00386,2026SU,SCH05,PRG0501,0501-200,02,2026-04-20,Registered,3.0,Pass Fail,Continuing,In State,SCH05,PRG0501,In Person,36
REG000129,STU00014,SEC00244,2025FA,SCH05,PRG0502,0502-200,02,2025-07-28,Registered,3.0,Pass Fail,Transfer,International,SCH05,PRG0502,Hybrid,38
REG000130,STU00014,SEC00243,2025FA,SCH05,PRG0502,0502-150,01,2025-08-15,Registered,3.0,Pass Fail,Transfer,International,SCH05,PRG0502,In Person,29
REG000131,STU00014,SEC00172,2025SU,SCH05,PRG0502,0502-200,02,2025-04-18,Registered,3.0,Letter,Transfer,International,SCH05,PRG0502,Online,28
REG000132,STU00014,SEC00171,2025SU,SCH05,PRG0502,0502-150,01,2025-04-11,Registered,3.0,Letter,Transfer,International,SCH05,PRG0502,Hybrid,38
REG000133,STU00014,SEC00099,2025WI,SCH05,PRG0502,0502-150,01,2025-01-01,Registered,3.0,Pass Fail,Transfer,International,SCH05,PRG0502,Online,41
REG000134,STU00014,SEC00100,2025WI,SCH05,PRG0502,0502-200,02,2024-12-25,Dropped,0.0,Audit,Transfer,International,SCH05,PRG0502,Hybrid,33
REG000135,STU00014,SEC00315,2026WI,SCH05,PRG0502,0502-150,01,2025-12-27,Registered,3.0,Audit,Transfer,International,SCH05,PRG0502,Online,27
REG000136,STU00014,SEC00316,2026WI,SCH05,PRG0502,0502-200,02,2025-12-25,Dropped,0.0,Letter,Transfer,International,SCH05,PRG0502,Online,33
REG000137,STU00015,SEC00029,2024FA,SCH05,PRG0503,0503-150,01,2024-08-12,Registered,3.0,Letter,Continuing,In State,SCH05,PRG0503,In Person,27
REG000138,STU00015,SEC00030,2024FA,SCH05,PRG0503,0503-200,02,2024-08-10,Registered,3.0,Pass Fail,Continuing,In State,SCH05,PRG0503,In Person,33
REG000139,STU00015,SEC00245,2025FA,SCH05,PRG0503,0503-150,01,2025-08-06,Registered,3.0,Audit,Continuing,In State,SCH05,PRG0503,In Person,42
REG000140,STU00015,SEC00246,2025FA,SCH05,PRG0503,0503-200,02,2025-08-14,Registered,3.0,Audit,Continuing,In State,SCH05,PRG0503,In Person,24
REG000141,STU00015,SEC00174,2025SU,SCH05,PRG0503,0503-200,02,2025-04-17,Registered,3.0,Audit,Continuing,In State,SCH05,PRG0503,Online,41
REG000142,STU00015,SEC00173,2025SU,SCH05,PRG0503,0503-150,01,2025-04-12,Registered,3.0,Audit,Continuing,In State,SCH05,PRG0503,Online,26
REG000143,STU00015,SEC00317,2026WI,SCH05,PRG0503,0503-150,01,2026-01-03,Registered,3.0,Audit,Continuing,In State,SCH05,PRG0503,Online,27
REG000144,STU00015,SEC00318,2026WI,SCH05,PRG0503,0503-200,02,2026-01-01,Dropped,0.0,Letter,Continuing,In State,SCH05,PRG0503,Hybrid,27
REG000145,STU00016,SEC00031,2024FA,SCH06,PRG0601,0601-150,01,2024-08-02,Registered,3.0,Pass Fail,First Time,In State,SCH06,PRG0601,Online,36
REG000146,STU00016,SEC00032,2024FA,SCH06,PRG0601,0601-200,02,2024-08-06,Registered,3.0,Audit,First Time,In State,SCH06,PRG0601,Hybrid,31
REG000147,STU00016,SEC00175,2025SU,SCH06,PRG0601,0601-150,01,2025-04-19,Registered,3.0,Audit,First Time,In State,SCH06,PRG0601,Hybrid,24
REG000148,STU00016,SEC00176,2025SU,SCH06,PRG0601,0601-200,02,2025-04-28,Registered,3.0,Audit,First Time,In State,SCH06,PRG0601,Hybrid,36
REG000149,STU00016,SEC00392,2026SU,SCH06,PRG0601,0601-200,02,2026-05-02,Registered,3.0,Letter,First Time,In State,SCH06,PRG0601,Hybrid,26
REG000150,STU00016,SEC00391,2026SU,SCH06,PRG0601,0601-150,01,2026-04-12,Registered,3.0,Pass Fail,First Time,In State,SCH06,PRG0601,Hybrid,26
REG000151,STU00017,SEC00033,2024FA,SCH06,PRG0602,0602-150,01,2024-08-12,Dropped,0.0,Letter,First Time,In State,SCH06,PRG0602,Hybrid,41
REG000152,STU00017,SEC00034,2024FA,SCH06,PRG0602,0602-200,02,2024-08-12,Registered,3.0,Audit,First Time,In State,SCH06,PRG0602,In Person,35
REG000153,STU00017,SEC00249,2025FA,SCH06,PRG0602,0602-150,01,2025-07-21,Registered,3.0,Audit,First Time,In State,SCH06,PRG0602,Hybrid,30
REG000154,STU00017,SEC00250,2025FA,SCH06,PRG0602,0602-200,02,2025-08-15,Registered,3.0,Letter,First Time,In State,SCH06,PRG0602,Online,33
REG000155,STU00017,SEC00177,2025SU,SCH06,PRG0602,0602-150,01,2025-05-01,Registered,3.0,Pass Fail,First Time,In State,SCH06,PRG0602,Online,24
REG000156,STU00017,SEC00178,2025SU,SCH06,PRG0602,0602-200,02,2025-04-20,Dropped,0.0,Pass Fail,First Time,In State,SCH06,PRG0602,In Person,33
REG000157,STU00017,SEC00106,2025WI,SCH06,PRG0602,0602-200,02,2024-12-26,Registered,3.0,Audit,First Time,In State,SCH06,PRG0602,Hybrid,36
REG000158,STU00017,SEC00105,2025WI,SCH06,PRG0602,0602-150,01,2024-12-19,Registered,3.0,Pass Fail,First Time,In State,SCH06,PRG0602,Hybrid,25
REG000159,STU00017,SEC00393,2026SU,SCH06,PRG0602,0602-150,01,2026-04-14,Registered,3.0,Audit,First Time,In State,SCH06,PRG0602,Online,40
REG000160,STU00017,SEC00394,2026SU,SCH06,PRG0602,0602-200,02,2026-04-19,Registered,3.0,Audit,First Time,In State,SCH06,PRG0602,In Person,24
REG000161,STU00017,SEC00322,2026WI,SCH06,PRG0602,0602-200,02,2025-12-08,Registered,3.0,Letter,First Time,In State,SCH06,PRG0602,Online,24
REG000162,STU00017,SEC00321,2026WI,SCH06,PRG0602,0602-150,01,2025-12-25,Registered,3.0,Audit,First Time,In State,SCH06,PRG0602,Hybrid,40
REG000163,STU00018,SEC00035,2024FA,SCH06,PRG0603,0603-150,01,2024-08-07,Registered,3.0,Pass Fail,Graduate,In State,SCH06,PRG0603,Hybrid,39
REG000164,STU00018,SEC00036,2024FA,SCH06,PRG0603,0603-200,02,2024-07-25,Registered,3.0,Letter,Graduate,In State,SCH06,PRG0603,In Person,24
