application_id,student_id,term_id,school_id,program_id,application_date,application_status,admission_id,decision_date,decision_status,deposit_id,deposit_date,deposit_status,deposit_amount,is_admitted,is_deposited
APP00033,STU00232,2026WI,SCH08,PRG0801,2025-12-01,Cancelled,,,,,,,,f,f
APP00034,STU00239,2026SU,SCH09,PRG0903,2026-03-14,Submitted,ADM00024,2026-04-26,Admitted,DEP00010,2026-05-11,Paid,250.00,t,t
APP00035,STU00006,2025WI,SCH11,PRG1102,2024-08-26,Cancelled,,,,,,,,f,f
APP00036,STU00013,2025SU,SCH01,PRG0101,2025-03-28,Submitted,,,,,,,,f,f
APP00037,STU00020,2025FA,SCH02,PRG0203,2025-04-19,Submitted,ADM00025,2025-05-15,Admitted,DEP00011,2025-06-07,Paid,250.00,t,t
APP00038,STU00027,2026WI,SCH04,PRG0402,2025-10-09,Cancelled,,,,,,,,f,f
APP00039,STU00034,2026SU,SCH06,PRG0601,2026-03-13,Submitted,ADM00026,2026-03-24,Admitted,DEP00012,2026-04-06,Paid,250.00,t,t
APP00040,STU00041,2025WI,SCH07,PRG0703,2024-08-19,Cancelled,,,,,,,,f,f
APP00041,STU00048,2025SU,SCH09,PRG0902,2025-03-04,Submitted,ADM00027,2025-04-06,Admitted,DEP00013,2025-04-30,Paid,250.00,t,t
APP00042,STU00055,2025FA,SCH11,PRG1101,2025-05-21,Submitted,ADM00028,2025-06-18,Admitted,DEP00014,2025-07-09,Paid,250.00,t,t
APP00043,STU00062,2026WI,SCH12,PRG1203,2025-10-17,Cancelled,,,,,,,,f,f
APP00044,STU00069,2026SU,SCH02,PRG0202,2026-03-02,Submitted,ADM00029,2026-03-15,Admitted,DEP00015,2026-03-19,Paid,250.00,t,t
APP00045,STU00076,2025WI,SCH04,PRG0401,2024-11-02,Submitted,ADM00030,2024-12-10,Admitted,,,,,t,f
APP00046,STU00083,2025SU,SCH05,PRG0503,2025-01-12,Submitted,ADM00031,2025-01-29,Admitted,DEP00016,2025-02-06,Paid,250.00,t,t
APP00047,STU00090,2025FA,SCH07,PRG0702,2025-03-31,Submitted,ADM00032,2025-04-12,Admitted,DEP00017,2025-04-25,Paid,250.00,t,t
APP00048,STU00097,2026WI,SCH09,PRG0901,2025-11-12,Submitted,ADM00033,2025-12-08,Admitted,,,,,t,f
APP00049,STU00104,2026SU,SCH10,PRG1003,2026-02-13,Submitted,ADM00034,2026-03-08,Admitted,,,,,t,f
APP00050,STU00111,2025WI,SCH12,PRG1202,2024-09-04,Submitted,ADM00035,2024-09-29,Admitted,DEP00018,2024-10-02,Paid,250.00,t,t
APP00051,STU00118,2025SU,SCH02,PRG0201,2025-01-07,Submitted,ADM00036,2025-01-26,Admitted,,,,,t,f
APP00052,STU00125,2025FA,SCH03,PRG0303,2025-07-05,Submitted,,,,,,,,f,f
APP00053,STU00132,2026WI,SCH05,PRG0502,2025-10-25,Submitted,ADM00037,2025-11-30,Admitted,DEP00019,2025-12-24,Paid,250.00,t,t
APP00054,STU00139,2026SU,SCH07,PRG0701,2025-12-26,Cancelled,,,,,,,,f,f
APP00055,STU00146,2025WI,SCH08,PRG0803,2024-10-24,Submitted,,,,,,,,f,f
APP00056,STU00153,2025SU,SCH10,PRG1002,2025-01-18,Submitted,ADM00038,2025-03-03,Admitted,DEP00020,2025-03-20,Paid,250.00,t,t
APP00057,STU00160,2025FA,SCH12,PRG1201,2025-07-14,Submitted,ADM00039,2025-07-30,Admitted,DEP00021,2025-08-09,Paid,250.00,t,t
APP00058,STU00167,2026WI,SCH01,PRG0103,2025-10-15,Submitted,ADM00040,2025-11-19,Admitted,DEP00022,2025-11-22,Paid,250.00,t,t
APP00059,STU00174,2026SU,SCH03,PRG0302,2026-02-16,Submitted,,,,,,,,f,f
APP00060,STU00181,2025WI,SCH05,PRG0501,2024-09-28,Submitted,ADM00041,2024-10-18,Admitted,DEP00023,2024-10-31,Paid,250.00,t,t
APP00061,STU00188,2025SU,SCH06,PRG0603,2025-01-17,Submitted,ADM00042,2025-02-13,Admitted,,,,,t,f
APP00062,STU00195,2025FA,SCH08,PRG0802,2025-04-23,Submitted,ADM00043,2025-06-01,Admitted,,,,,t,f
APP00063,STU00202,2026WI,SCH10,PRG1001,2025-10-25,Submitted,ADM00044,2025-11-27,Admitted,DEP00024,2025-12-13,Paid,250.00,t,t
APP00064,STU00209,2026SU,SCH11,PRG1103,2026-01-30,Submitted,ADM00045,2026-03-11,Admitted,,,,,t,f
APP00065,STU00216,2025WI,SCH01,PRG0102,2024-09-26,Submitted,ADM00046,2024-11-05,Admitted,,,,,t,f
APP00066,STU00223,2025SU,SCH03,PRG0301,2025-02-01,Submitted,ADM00047,2025-02-23,Admitted,,,,,t,f
APP00067,STU00230,2025FA,SCH04,PRG0403,2025-06-15,Submitted,ADM00048,2025-06-30,Admitted,DEP00025,2025-07-16,Paid,250.00,t,t
APP00068,STU00237,2026WI,SCH06,PRG0602,2025-08-28,Submitted,ADM00049,2025-10-01,Admitted,,,,,t,f
APP00069,STU00004,2026SU,SCH08,PRG0801,2026-03-03,Submitted,ADM00050,2026-03-17,Admitted,,,,,t,f
APP00070,STU00011,2025WI,SCH09,PRG0903,2024-10-19,Submitted,ADM00051,2024-12-02,Admitted,DEP00026,2024-12-15,Paid,250.00,t,t
APP00071,STU00018,2025SU,SCH11,PRG1102,2025-03-30,Submitted,ADM00052,2025-05-05,Admitted,,,,,t,f
APP00072,STU00025,2025FA,SCH01,PRG0101,2025-07-11,Submitted,ADM00053,2025-08-25,Admitted,DEP00027,2025-09-05,Paid,250.00,t,t
APP00073,STU00032,2026WI,SCH02,PRG0203,2025-08-25,Submitted,,,,,,,,f,f
APP00074,STU00039,2026SU,SCH04,PRG0402,2026-01-09,Cancelled,,,,,,,,f,f
APP00075,STU00046,2025WI,SCH06,PRG0601,2024-10-27,Submitted,,,,,,,,f,f
APP00076,STU00053,2025SU,SCH07,PRG0703,2025-01-26,Submitted,ADM00054,2025-02-15,Admitted,DEP00028,2025-02-23,Paid,250.00,t,t
APP00077,STU00060,2025FA,SCH09,PRG0902,2025-05-25,Submitted,,,,,,,,f,f
APP00078,STU00067,2026WI,SCH11,PRG1101,2025-10-31,Submitted,ADM00055,2025-11-16,Admitted,,,,,t,f
APP00079,STU00074,2026SU,SCH12,PRG1203,2026-03-06,Submitted,,,,,,,,f,f
APP00080,STU00081,2025WI,SCH02,PRG0202,2024-10-28,Submitted,ADM00056,2024-12-07,Admitted,,,,,t,f
APP00081,STU00088,2025SU,SCH04,PRG0401,2025-03-29,Submitted,ADM00057,2025-05-09,Admitted,DEP00029,2025-05-27,Paid,250.00,t,t
APP00082,STU00095,2025FA,SCH05,PRG0503,2025-05-26,Submitted,ADM00058,2025-06-06,Admitted,,,,,t,f
APP00083,STU00102,2026WI,SCH07,PRG0702,2025-12-01,Submitted,ADM00059,2026-01-15,Admitted,DEP00030,2026-02-04,Paid,250.00,t,t
APP00084,STU00109,2026SU,SCH09,PRG0901,2026-01-03,Submitted,,,,,,,,f,f
APP00085,STU00116,2025WI,SCH10,PRG1003,2024-08-29,Submitted,ADM00060,2024-09-10,Admitted,,,,,t,f
APP00086,STU00123,2025SU,SCH12,PRG1202,2024-12-30,Submitted,,,,,,,,f,f
APP00087,STU00130,2025FA,SCH02,PRG0201,2025-05-06,Submitted,ADM00061,2025-05-22,Admitted,,,,,t,f
APP00088,STU00137,2026WI,SCH03,PRG0303,2025-10-14,Submitted,ADM00062,2025-11-15,Admitted,DEP00031,2025-11-18,Paid,250.00,t,t
APP00089,STU00144,2026SU,SCH05,PRG0502,2026-02-20,Submitted,ADM00063,2026-03-12,Admitted,DEP00032,2026-03-22,Paid,250.00,t,t
APP00090,STU00151,2025WI,SCH07,PRG0701,2024-10-28,Submitted,,,,,,,,f,f
APP00091,STU00158,2025SU,SCH08,PRG0803,2025-02-12,Submitted,ADM00064,2025-03-02,Admitted,,,,,t,f
APP00092,STU00165,2025FA,SCH10,PRG1002,2025-05-13,Submitted,ADM00065,2025-06-21,Admitted,DEP00033,2025-06-29,Paid,250.00,t,t
APP00093,STU00172,2026WI,SCH12,PRG1201,2025-11-15,Submitted,ADM00066,2025-12-24,Admitted,DEP00034,2026-01-10,Paid,250.00,t,t
APP00094,STU00179,2026SU,SCH01,PRG0103,2026-02-12,Cancelled,,,,,,,,f,f
APP00095,STU00186,2025WI,SCH03,PRG0302,2024-10-17,Submitted,ADM00067,2024-11-03,Admitted,,,,,t,f
APP00096,STU00193,2025SU,SCH05,PRG0501,2025-01-11,Submitted,ADM00068,2025-01-24,Admitted,,,,,t,f
APP00097,STU00200,2025FA,SCH06,PRG0603,2025-04-04,Submitted,ADM00069,2025-05-07,Admitted,DEP00035,2025-05-11,Paid,250.00,t,t
APP00098,STU00207,2026WI,SCH08,PRG0802,2025-11-16,Submitted,ADM00070,2025-11-27,Admitted,DEP00036,2025-12-21,Paid,250.00,t,t
APP00099,STU00214,2026SU,SCH10,PRG1001,2026-03-15,Submitted,ADM00071,2026-04-29,Admitted,,,,,t,f
APP00100,STU00221,2025WI,SCH11,PRG1103,2024-09-25,Submitted,ADM00072,2024-10-25,Admitted,DEP00037,2024-10-28,Paid,250.00,t,t
APP00101,STU00228,2025SU,SCH01,PRG0102,2025-01-23,Submitted,ADM00073,2025-03-06,Admitted,DEP00038,2025-03-20,Paid,250.00,t,t
APP00102,STU00235,2025FA,SCH03,PRG0301,2025-04-11,Submitted,ADM00074,2025-05-05,Admitted,DEP00039,2025-05-20,Paid,250.00,t,t
APP00103,STU00002,2026WI,SCH04,PRG0403,2025-09-18,Submitted,ADM00075,2025-10-26,Admitted,DEP00040,2025-11-06,Paid,250.00,t,t
APP00104,STU00009,2026SU,SCH06,PRG0602,2025-12-26,Submitted,ADM00076,2026-02-08,Admitted,DEP00041,2026-02-11,Paid,250.00,t,t
APP00105,STU00016,2025WI,SCH08,PRG0801,2024-11-22,Submitted,ADM00077,2024-12-21,Admitted,DEP00042,2024-12-31,Paid,250.00,t,t
APP00106,STU00023,2025SU,SCH09,PRG0903,2025-01-22,Submitted,,,,,,,,f,f
APP00107,STU00030,2025FA,SCH11,PRG1102,2025-06-04,Submitted,,,,,,,,f,f
APP00108,STU00037,2026WI,SCH01,PRG0101,2025-11-20,Cancelled,,,,,,,,f,f
APP00109,STU00044,2026SU,SCH02,PRG0203,2026-03-30,Submitted,ADM00078,2026-05-10,Admitted,DEP00043,2026-05-22,Paid,250.00,t,t
APP00110,STU00051,2025WI,SCH04,PRG0402,2024-08-22,Submitted,,,,,,,,f,f
APP00111,STU00058,2025SU,SCH06,PRG0601,2025-02-12,Submitted,,,,,,,,f,f
APP00112,STU00065,2025FA,SCH07,PRG0703,2025-04-29,Submitted,ADM00079,2025-05-14,Admitted,,,,,t,f
APP00113,STU00072,2026WI,SCH09,PRG0902,2025-11-13,Submitted,ADM00080,2025-12-28,Admitted,,,,,t,f
APP00114,STU00079,2026SU,SCH11,PRG1101,2026-02-21,Submitted,ADM00081,2026-03-07,Admitted,DEP00044,2026-03-27,Paid,250.00,t,t
APP00115,STU00086,2025WI,SCH12,PRG1203,2024-09-11,Submitted,ADM00082,2024-10-06,Admitted,DEP00045,2024-10-24,Paid,250.00,t,t
APP00116,STU00093,2025SU,SCH02,PRG0202,2025-03-18,Submitted,,,,,,,,f,f
APP00117,STU00100,2025FA,SCH04,PRG0401,2025-06-22,Submitted,ADM00083,2025-08-04,Admitted,,,,,t,f
APP00118,STU00107,2026WI,SCH05,PRG0503,2025-11-29,Submitted,ADM00084,2026-01-06,Admitted,DEP00046,2026-01-15,Paid,250.00,t,t
APP00119,STU00114,2026SU,SCH07,PRG0702,2026-02-15,Submitted,,,,,,,,f,f
APP00120,STU00121,2025WI,SCH09,PRG0901,2024-10-19,Submitted,ADM00085,2024-11-23,Admitted,DEP00047,2024-12-10,Paid,250.00,t,t
APP00121,STU00128,2025SU,SCH10,PRG1003,2025-03-10,Submitted,ADM00086,2025-04-19,Admitted,,,,,t,f
APP00122,STU00135,2025FA,SCH12,PRG1202,2025-07-13,Submitted,ADM00087,2025-08-25,Admitted,,,,,t,f
APP00123,STU00142,2026WI,SCH02,PRG0201,2025-11-03,Submitted,ADM00088,2025-12-06,Admitted,,,,,t,f
APP00124,STU00149,2026SU,SCH03,PRG0303,2025-12-26,Submitted,,,,,,,,f,f
APP00125,STU00156,2025WI,SCH05,PRG0502,2024-10-09,Submitted,ADM00089,2024-11-23,Admitted,,,,,t,f
APP00126,STU00163,2025SU,SCH07,PRG0701,2025-01-11,Submitted,ADM00090,2025-02-15,Admitted,,,,,t,f
APP00127,STU00170,2025FA,SCH08,PRG0803,2025-04-20,Submitted,,,,,,,,f,f
APP00128,STU00177,2026WI,SCH10,PRG1002,2025-10-16,Submitted,ADM00091,2025-11-12,Admitted,DEP00048,2025-11-30,Paid,250.00,t,t
APP00129,STU00184,2026SU,SCH12,PRG1201,2025-12-24,Submitted,ADM00092,2026-01-03,Admitted,,,,,t,f
APP00130,STU00191,2025WI,SCH01,PRG0103,2024-10-10,Submitted,ADM00093,2024-10-23,Admitted,,,,,t,f
APP00131,STU00198,2025SU,SCH03,PRG0302,2025-01-12,Cancelled,,,,,,,,f,f
APP00132,STU00205,2025FA,SCH05,PRG0501,2025-04-03,Submitted,ADM00094,2025-05-14,Admitted,DEP00049,2025-05-22,Paid,250.00,t,t
APP00133,STU00212,2026WI,SCH06,PRG0603,2025-09-18,Submitted,,,,,,,,f,f
APP00134,STU00219,2026SU,SCH08,PRG0802,2026-02-17,Submitted,ADM00095,2026-04-01,Admitted,DEP00050,2026-04-20,Paid,250.00,t,t
APP00135,STU00226,2025WI,SCH10,PRG1001,2024-11-09,Cancelled,,,,,,,,f,f
APP00136,STU00233,2025SU,SCH11,PRG1103,2025-03-19,Submitted,ADM00096,2025-04-08,Admitted,DEP00051,2025-04-16,Paid,250.00,t,t
APP00137,STU00240,2025FA,SCH01,PRG0102,2025-06-14,Submitted,ADM00097,2025-07-06,Admitted,DEP00052,2025-07-10,Paid,250.00,t,t
APP00138,STU00007,2026WI,SCH03,PRG0301,2025-08-19,Submitted,,,,,,,,f,f
APP00139,STU00014,2026SU,SCH04,PRG0403,2026-03-27,Cancelled,,,,,,,,f,f
APP00140,STU00021,2025WI,SCH06,PRG0602,2024-09-25,Submitted,,,,,,,,f,f
APP00141,STU00028,2025SU,SCH08,PRG0801,2024-12-31,Submitted,ADM00098,2025-02-02,Admitted,DEP00053,2025-02-06,Paid,250.00,t,t
APP00142,STU00035,2025FA,SCH09,PRG0903,2025-04-10,Submitted,,,,,,,,f,f
APP00143,STU00042,2026WI,SCH11,PRG1102,2025-11-28,Submitted,ADM00099,2025-12-15,Admitted,,,,,t,f
APP00144,STU00049,2026SU,SCH01,PRG0101,2025-12-17,Submitted,ADM00100,2026-01-31,Admitted,,,,,t,f
APP00145,STU00056,2025WI,SCH02,PRG0203,2024-11-14,Cancelled,,,,,,,,f,f
APP00146,STU00063,2025SU,SCH04,PRG0402,2025-03-13,Submitted,,,,,,,,f,f
APP00147,STU00070,2025FA,SCH06,PRG0601,2025-05-23,Submitted,ADM00101,2025-06-14,Admitted,,,,,t,f
APP00148,STU00077,2026WI,SCH07,PRG0703,2025-11-17,Submitted,ADM00102,2025-12-22,Admitted,DEP00054,2026-01-09,Paid,250.00,t,t
APP00149,STU00084,2026SU,SCH09,PRG0902,2026-03-23,Submitted,ADM00103,2026-05-04,Admitted,DEP00055,2026-05-09,Paid,250.00,t,t
APP00150,STU00091,2025WI,SCH11,PRG1101,2024-12-01,Submitted,ADM00104,2025-01-06,Admitted,DEP00056,2025-01-19,Paid,250.00,t,t
APP00151,STU00098,2025SU,SCH12,PRG1203,2024-12-29,Submitted,ADM00105,2025-01-13,Admitted,DEP00057,2025-01-29,Paid,250.00,t,t
APP00152,STU00105,2025FA,SCH02,PRG0202,2025-05-11,Submitted,,,,,,,,f,f
APP00153,STU00112,2026WI,SCH04,PRG0401,2025-08-23,Submitted,,,,,,,,f,f
APP00154,STU00119,2026SU,SCH05,PRG0503,2026-01-01,Submitted,ADM00106,2026-02-13,Admitted,DEP00058,2026-02-23,Paid,250.00,t,t
APP00155,STU00126,2025WI,SCH07,PRG0702,2024-09-20,Submitted,,,,,,,,f,f
APP00156,STU00133,2025SU,SCH09,PRG0901,2024-12-22,Submitted,ADM00107,2025-02-03,Admitted,DEP00059,2025-02-10,Paid,250.00,t,t
APP00157,STU00140,2025FA,SCH10,PRG1003,2025-05-24,Submitted,ADM00108,2025-06-09,Admitted,DEP00060,2025-06-23,Paid,250.00,t,t
APP00158,STU00147,2026WI,SCH12,PRG1202,2025-09-20,Submitted,,,,,,,,f,f
APP00159,STU00154,2026SU,SCH02,PRG0201,2026-02-22,Submitted,ADM00109,2026-03-23,Admitted,,,,,t,f
APP00160,STU00161,2025WI,SCH03,PRG0303,2024-10-13,Submitted,ADM00110,2024-11-14,Admitted,DEP00061,2024-11-27,Paid,250.00,t,t
APP00161,STU00168,2025SU,SCH05,PRG0502,2025-01-31,Submitted,ADM00111,2025-03-16,Admitted,,,,,t,f
APP00162,STU00175,2025FA,SCH07,PRG0701,2025-06-11,Submitted,ADM00112,2025-07-02,Admitted,DEP00062,2025-07-16,Paid,250.00,t,t
APP00163,STU00182,2026WI,SCH08,PRG0803,2025-09-26,Submitted,,,,,,,,f,f
APP00164,STU00189,2026SU,SCH10,PRG1002,2025-12-31,Cancelled,,,,,,,,f,f
APP00165,STU00196,2025WI,SCH12,PRG1201,2024-10-11,Submitted,ADM00113,2024-11-03,Admitted,,,,,t,f
APP00166,STU00203,2025SU,SCH01,PRG0103,2025-03-17,Submitted,ADM00114,2025-04-04,Admitted,DEP00063,2025-04-16,Paid,250.00,t,t
APP00167,STU00210,2025FA,SCH03,PRG0302,2025-06-10,Submitted,ADM00115,2025-07-05,Admitted,,,,,t,f
APP00168,STU00217,2026WI,SCH05,PRG0501,2025-09-05,Submitted,ADM00116,2025-10-06,Admitted,,,,,t,f
APP00169,STU00224,2026SU,SCH06,PRG0603,2026-03-01,Submitted,ADM00117,2026-04-15,Admitted,DEP00064,2026-04-30,Paid,250.00,t,t
APP00170,STU00231,2025WI,SCH08,PRG0802,2024-09-18,Submitted,,,,,,,,f,f
APP00171,STU00238,2025SU,SCH10,PRG1001,2025-03-28,Submitted,ADM00118,2025-04-17,Admitted,,,,,t,f
APP00172,STU00005,2025FA,SCH11,PRG1103,2025-04-11,Submitted,ADM00119,2025-05-06,Admitted,,,,,t,f
APP00173,STU00012,2026WI,SCH01,PRG0102,2025-09-05,Submitted,ADM00120,2025-10-19,Admitted,,,,,t,f
APP00174,STU00019,2026SU,SCH03,PRG0301,2026-03-20,Submitted,ADM00121,2026-04-22,Admitted,DEP00065,2026-05-13,Paid,250.00,t,t
APP00175,STU00026,2025WI,SCH04,PRG0403,2024-11-01,Submitted,ADM00122,2024-11-26,Admitted,DEP00066,2024-12-15,Paid,250.00,t,t
APP00176,STU00033,2025SU,SCH06,PRG0602,2025-02-28,Submitted,ADM00123,2025-03-20,Admitted,DEP00067,2025-04-06,Paid,250.00,t,t
APP00177,STU00040,2025FA,SCH08,PRG0801,2025-04-11,Submitted,ADM00124,2025-04-27,Admitted,DEP00068,2025-05-09,Paid,250.00,t,t
APP00178,STU00047,2026WI,SCH09,PRG0903,2025-09-29,Submitted,,,,,,,,f,f
APP00179,STU00054,2026SU,SCH11,PRG1102,2026-03-13,Submitted,,,,,,,,f,f
APP00180,STU00061,2025WI,SCH01,PRG0101,2024-09-17,Submitted,,,,,,,,f,f
APP00181,STU00068,2025SU,SCH02,PRG0203,2025-02-15,Submitted,ADM00125,2025-03-11,Admitted,,,,,t,f
APP00182,STU00075,2025FA,SCH04,PRG0402,2025-06-23,Submitted,ADM00126,2025-07-15,Admitted,,,,,t,f
APP00183,STU00082,2026WI,SCH06,PRG0601,2025-11-21,Submitted,ADM00127,2025-12-12,Admitted,DEP00069,2025-12-19,Paid,250.00,t,t
APP00184,STU00089,2026SU,SCH07,PRG0703,2026-03-10,Submitted,ADM00128,2026-03-23,Admitted,,,,,t,f
APP00185,STU00096,2025WI,SCH09,PRG0902,2024-08-30,Submitted,ADM00129,2024-09-15,Admitted,DEP00070,2024-10-03,Paid,250.00,t,t
APP00186,STU00103,2025SU,SCH11,PRG1101,2024-12-21,Submitted,,,,,,,,f,f
APP00187,STU00110,2025FA,SCH12,PRG1203,2025-06-23,Submitted,,,,,,,,f,f
APP00188,STU00117,2026WI,SCH02,PRG0202,2025-11-14,Submitted,,,,,,,,f,f
APP00189,STU00124,2026SU,SCH04,PRG0401,2026-02-08,Submitted,,,,,,,,f,f
APP00190,STU00131,2025WI,SCH05,PRG0503,2024-10-27,Submitted,ADM00130,2024-11-30,Admitted,DEP00071,2024-12-12,Paid,250.00,t,t
APP00191,STU00138,2025SU,SCH07,PRG0702,2025-01-27,Submitted,,,,,,,,f,f
APP00192,STU00145,2025FA,SCH09,PRG0901,2025-05-14,Submitted,ADM00131,2025-06-05,Admitted,,,,,t,f
APP00193,STU00152,2026WI,SCH10,PRG1003,2025-09-08,Submitted,ADM00132,2025-10-04,Admitted,,,,,t,f
APP00194,STU00159,2026SU,SCH12,PRG1202,2026-03-24,Submitted,ADM00133,2026-05-06,Admitted,,,,,t,f
APP00195,STU00166,2025WI,SCH02,PRG0201,2024-08-27,Submitted,,,,,,,,f,f
APP00196,STU00173,2025SU,SCH03,PRG0303,2025-02-10,Submitted,ADM00134,2025-03-15,Admitted,DEP00072,2025-03-22,Paid,250.00,t,t
APP00197,STU00180,2025FA,SCH05,PRG0502,2025-04-29,Cancelled,,,,,,,,f,f
APP00198,STU00187,2026WI,SCH07,PRG0701,2025-10-04,Submitted,ADM00135,2025-10-14,Admitted,,,,,t,f
APP00199,STU00194,2026SU,SCH08,PRG0803,2026-02-17,Cancelled,,,,,,,,f,f
APP00200,STU00201,2025WI,SCH10,PRG1002,2024-09-27,Submitted,ADM00136,2024-10-17,Admitted,DEP00073,2024-11-08,Paid,250.00,t,t
APP00201,STU00208,2025SU,SCH12,PRG1201,2025-01-29,Submitted,ADM00137,2025-03-10,Admitted,DEP00074,2025-03-13,Paid,250.00,t,t
APP00202,STU00215,2025FA,SCH01,PRG0103,2025-04-10,Submitted,,,,,,,,f,f
APP00203,STU00222,2026WI,SCH03,PRG0302,2025-08-28,Submitted,ADM00138,2025-09-15,Admitted,DEP00075,2025-09-26,Paid,250.00,t,t
APP00204,STU00229,2026SU,SCH05,PRG0501,2026-03-25,Submitted,,,,,,,,f,f
APP00205,STU00236,2025WI,SCH06,PRG0603,2024-10-30,Submitted,ADM00139,2024-11-10,Admitted,DEP00076,2024-12-02,Paid,250.00,t,t
APP00206,STU00003,2025SU,SCH08,PRG0802,2025-03-25,Submitted,,,,,,,,f,f
APP00207,STU00010,2025FA,SCH10,PRG1001,2025-04-05,Submitted,ADM00140,2025-04-16,Admitted,DEP00077,2025-04-30,Paid,250.00,t,t
APP00208,STU00017,2026WI,SCH11,PRG1103,2025-09-30,Submitted,,,,,,,,f,f
APP00209,STU00024,2026SU,SCH01,PRG0102,2026-02-11,Submitted,ADM00141,2026-02-28,Admitted,,,,,t,f
APP00210,STU00031,2025WI,SCH03,PRG0301,2024-10-26,Cancelled,,,,,,,,f,f
APP00211,STU00038,2025SU,SCH04,PRG0403,2025-03-28,Submitted,ADM00142,2025-05-11,Admitted,,,,,t,f
