student_id,student_type,residency_status,entry_term_id,admit_school_id,admit_program_id,synthetic_birth_year
STU00083,Transfer,International,2024FA,SCH04,PRG0402,1983
STU00084,Graduate,In State,2025FA,SCH04,PRG0403,2007
STU00085,Transfer,Out of State,2024FA,SCH05,PRG0501,1981
STU00086,Continuing,International,2025FA,SCH05,PRG0502,1985
STU00087,Continuing,In State,2025SU,SCH05,PRG0503,1978
STU00088,Graduate,In State,2024FA,SCH06,PRG0601,1999
STU00089,Continuing,In State,2024FA,SCH06,PRG0602,1982
STU00090,First Time,Out of State,2025WI,SCH06,PRG0603,2007
STU00091,Transfer,International,2024FA,SCH07,PRG0701,1983
STU00092,Graduate,Out of State,2024FA,SCH07,PRG0702,1978
STU00093,First Time,International,2025SU,SCH07,PRG0703,1988
STU00094,Continuing,International,2025FA,SCH08,PRG0801,1994
STU00095,Continuing,International,2025FA,SCH08,PRG0802,1990
STU00096,First Time,In State,2025SU,SCH08,PRG0803,1997
STU00097,Graduate,International,2024FA,SCH09,PRG0901,1988
STU00098,Graduate,Out of State,2025FA,SCH09,PRG0902,1997
STU00099,Graduate,In State,2025WI,SCH09,PRG0903,1992
STU00100,First Time,Out of State,2025SU,SCH10,PRG1001,1986
STU00101,Continuing,Out of State,2025SU,SCH10,PRG1002,1997
STU00102,First Time,Out of State,2025WI,SCH10,PRG1003,1986
STU00103,Transfer,International,2025FA,SCH11,PRG1101,1983
STU00104,Continuing,International,2025SU,SCH11,PRG1102,1984
STU00105,Graduate,International,2025SU,SCH11,PRG1103,2007
STU00106,Continuing,International,2024FA,SCH12,PRG1201,1989
STU00107,Continuing,In State,2024FA,SCH12,PRG1202,2002
STU00108,Transfer,In State,2025WI,SCH12,PRG1203,2002
STU00109,First Time,Out of State,2025WI,SCH01,PRG0101,1987
STU00110,Graduate,Out of State,2024FA,SCH01,PRG0102,1990
STU00111,First Time,International,2025WI,SCH01,PRG0103,2004
STU00112,Graduate,International,2024FA,SCH02,PRG0201,1985
STU00113,Graduate,In State,2024FA,SCH02,PRG0202,1995
STU00114,Graduate,In State,2025FA,SCH02,PRG0203,1992
STU00115,Graduate,In State,2025WI,SCH03,PRG0301,1994
STU00116,Graduate,International,2025FA,SCH03,PRG0302,1984
STU00117,First Time,International,2025WI,SCH03,PRG0303,2005
STU00118,Transfer,Out of State,2024FA,SCH04,PRG0401,1997
STU00119,Transfer,International,2025WI,SCH04,PRG0402,1999
STU00120,Transfer,Out of State,2024FA,SCH04,PRG0403,1993
STU00121,Continuing,In State,2025FA,SCH05,PRG0501,1989
STU00122,Graduate,In State,2025FA,SCH05,PRG0502,1983
STU00123,Transfer,In State,2025WI,SCH05,PRG0503,2006
STU00124,Continuing,In State,2024FA,SCH06,PRG0601,1986
STU00125,First Time,Out of State,2025FA,SCH06,PRG0602,1979
STU00126,First Time,International,2025FA,SCH06,PRG0603,1984
STU00127,Continuing,Out of State,2025FA,SCH07,PRG0701,1993
STU00128,Continuing,International,2025FA,SCH07,PRG0702,1999
STU00129,Transfer,International,2024FA,SCH07,PRG0703,1993
STU00130,Transfer,International,2024FA,SCH08,PRG0801,1987
STU00131,Continuing,Out of State,2025SU,SCH08,PRG0802,2005
STU00132,Transfer,Out of State,2024FA,SCH08,PRG0803,1986
STU00133,Graduate,International,2024FA,SCH09,PRG0901,1994
STU00134,Transfer,Out of State,2024FA,SCH09,PRG0902,1992
STU00135,Graduate,Out of State,2025FA,SCH09,PRG0903,1985
STU00136,Continuing,In State,2025FA,SCH10,PRG1001,1990
STU00137,Graduate,International,2025SU,SCH10,PRG1002,1991
STU00138,Transfer,Out of State,2024FA,SCH10,PRG1003,1978
STU00139,Continuing,In State,2025FA,SCH11,PRG1101,1980
STU00140,Graduate,International,2025FA,SCH11,PRG1102,1990
STU00141,Transfer,International,2025WI,SCH11,PRG1103,1995
STU00142,Transfer,International,2025WI,SCH12,PRG1201,1995
STU00143,Continuing,International,2025FA,SCH12,PRG1202,1990
STU00144,First Time,In State,2025WI,SCH12,PRG1203,1995
STU00145,Graduate,International,2025FA,SCH01,PRG0101,1994
STU00146,Graduate,In State,2025FA,SCH01,PRG0102,1991
STU00147,Transfer,International,2025FA,SCH01,PRG0103,2000
STU00148,Continuing,International,2025SU,SCH02,PRG0201,1996
STU00149,Transfer,In State,2025SU,SCH02,PRG0202,1980
STU00150,First Time,International,2025SU,SCH02,PRG0203,1991
STU00151,Transfer,Out of State,2025WI,SCH03,PRG0301,1981
STU00152,Graduate,International,2025SU,SCH03,PRG0302,2005
STU00153,Graduate,In State,2025WI,SCH03,PRG0303,1998
STU00154,Continuing,In State,2025FA,SCH04,PRG0401,2008
STU00155,First Time,Out of State,2024FA,SCH04,PRG0402,1982
STU00156,Graduate,In State,2024FA,SCH04,PRG0403,1988
STU00157,Graduate,In State,2024FA,SCH05,PRG0501,2007
STU00158,Graduate,Out of State,2025FA,SCH05,PRG0502,1996
STU00159,Graduate,In State,2024FA,SCH05,PRG0503,1994
STU00160,First Time,Out of State,2024FA,SCH06,PRG0601,1992
STU00161,Transfer,Out of State,2025WI,SCH06,PRG0602,1996
STU00162,Transfer,International,2025SU,SCH06,PRG0603,1996
STU00163,First Time,International,2025WI,SCH07,PRG0701,2000
STU00164,Transfer,In State,2025SU,SCH07,PRG0702,2002
STU00165,Continuing,International,2025SU,SCH07,PRG0703,1992
STU00166,First Time,International,2025SU,SCH08,PRG0801,1999
STU00167,Graduate,International,2024FA,SCH08,PRG0802,1994
STU00168,First Time,In State,2024FA,SCH08,PRG0803,1992
STU00169,Transfer,In State,2025SU,SCH09,PRG0901,2001
STU00170,Graduate,Out of State,2025FA,SCH09,PRG0902,1987
STU00171,First Time,In State,2024FA,SCH09,PRG0903,2007
STU00172,First Time,International,2025WI,SCH10,PRG1001,1993
STU00173,First Time,In State,2025SU,SCH10,PRG1002,1996
STU00174,Graduate,International,2024FA,SCH10,PRG1003,1984
STU00175,First Time,In State,2025SU,SCH11,PRG1101,1995
STU00176,Transfer,In State,2025SU,SCH11,PRG1102,1994
STU00177,Continuing,Out of State,2025FA,SCH11,PRG1103,1980
STU00178,First Time,Out of State,2025WI,SCH12,PRG1201,1978
STU00179,First Time,In State,2025FA,SCH12,PRG1202,2001
STU00180,First Time,Out of State,2025SU,SCH12,PRG1203,2002
STU00181,Graduate,International,2025FA,SCH01,PRG0101,1988
STU00182,Transfer,Out of State,2025WI,SCH01,PRG0102,1985
STU00183,Continuing,Out of State,2025WI,SCH01,PRG0103,1995
STU00184,First Time,International,2025SU,SCH02,PRG0201,1981
STU00185,First Time,International,2025SU,SCH02,PRG0202,2007
STU00186,Graduate,Out of State,2025SU,SCH02,PRG0203,1983
STU00187,Graduate,International,2025WI,SCH03,PRG0301,1993
STU00188,Continuing,International,2025SU,SCH03,PRG0302,1992
STU00189,Transfer,International,2025SU,SCH03,PRG0303,1995
STU00190,Continuing,In State,2024FA,SCH04,PRG0401,1991
STU00191,First Time,In State,2024FA,SCH04,PRG0402,1985
STU00192,Graduate,Out of State,2025SU,SCH04,PRG0403,1996
STU00193,First Time,International,2024FA,SCH05,PRG0501,1981
STU00194,First Time,International,2024FA,SCH05,PRG0502,2005
STU00195,Continuing,Out of State,2024FA,SCH05,PRG0503,1995
STU00196,Transfer,In State,2025SU,SCH06,PRG0601,1997
STU00197,Transfer,Out of State,2025SU,SCH06,PRG0602,1997
STU00198,Transfer,In State,2024FA,SCH06,PRG0603,2007
STU00199,Transfer,Out of State,2024FA,SCH07,PRG0701,1992
STU00200,First Time,In State,2025FA,SCH07,PRG0702,2001
STU00201,Transfer,Out of State,2025FA,SCH07,PRG0703,2002
STU00202,Continuing,International,2025WI,SCH08,PRG0801,1992
STU00203,First Time,International,2025SU,SCH08,PRG0802,1979
STU00204,Transfer,International,2025SU,SCH08,PRG0803,2001
STU00205,Transfer,In State,2025FA,SCH09,PRG0901,2005
STU00206,Continuing,Out of State,2024FA,SCH09,PRG0902,1978
STU00207,Transfer,Out of State,2025FA,SCH09,PRG0903,1988
STU00208,Continuing,Out of State,2025WI,SCH10,PRG1001,2006
STU00209,First Time,Out of State,2025SU,SCH10,PRG1002,2003
STU00210,Transfer,Out of State,2025WI,SCH10,PRG1003,1997
STU00211,First Time,International,2025FA,SCH11,PRG1101,1978
STU00212,Transfer,In State,2025FA,SCH11,PRG1102,1998
STU00213,Transfer,International,2024FA,SCH11,PRG1103,1993
STU00214,Continuing,In State,2024FA,SCH12,PRG1201,1983
STU00215,Transfer,In State,2025SU,SCH12,PRG1202,1995
STU00216,Transfer,International,2025WI,SCH12,PRG1203,1996
STU00217,Transfer,In State,2025WI,SCH01,PRG0101,1992
STU00218,First Time,International,2024FA,SCH01,PRG0102,1978
STU00219,Transfer,Out of State,2025SU,SCH01,PRG0103,1981
STU00220,Graduate,Out of State,2025WI,SCH02,PRG0201,2008
STU00221,First Time,International,2024FA,SCH02,PRG0202,1995
STU00222,First Time,International,2025SU,SCH02,PRG0203,2007
STU00223,First Time,In State,2025FA,SCH03,PRG0301,2002
STU00224,Transfer,In State,2025WI,SCH03,PRG0302,1978
STU00225,Graduate,Out of State,2025WI,SCH03,PRG0303,1997
STU00226,Transfer,In State,2025WI,SCH04,PRG0401,2007
STU00227,First Time,Out of State,2025SU,SCH04,PRG0402,1984
STU00228,Continuing,International,2025FA,SCH04,PRG0403,1978
STU00229,Transfer,Out of State,2025FA,SCH05,PRG0501,2000
STU00230,First Time,In State,2025SU,SCH05,PRG0502,2000
STU00231,Continuing,International,2025FA,SCH05,PRG0503,2005
STU00232,Transfer,Out of State,2025SU,SCH06,PRG0601,1988
STU00233,Continuing,In State,2025SU,SCH06,PRG0602,2007
STU00234,Graduate,International,2025SU,SCH06,PRG0603,1984
STU00235,Graduate,Out of State,2025SU,SCH07,PRG0701,1985
STU00236,Continuing,In State,2025SU,SCH07,PRG0702,1984
STU00237,Continuing,In State,2025FA,SCH07,PRG0703,1982
STU00238,Transfer,Out of State,2024FA,SCH08,PRG0801,2001
STU00239,Graduate,International,2024FA,SCH08,PRG0802,1986
STU00240,First Time,In State,2025SU,SCH08,PRG0803,1986
