section_id,term_id,school_id,program_id,course_code,section_number,modality,capacity
SEC00219,2025FA,SCH01,PRG0102,0102-150,01,Online,38
SEC00220,2025FA,SCH01,PRG0102,0102-200,02,Online,25
SEC00221,2025FA,SCH01,PRG0103,0103-150,01,Online,27
SEC00222,2025FA,SCH01,PRG0103,0103-200,02,Online,38
SEC00223,2025FA,SCH02,PRG0201,0201-150,01,Hybrid,30
SEC00224,2025FA,SCH02,PRG0201,0201-200,02,Hybrid,41
SEC00225,2025FA,SCH02,PRG0202,0202-150,01,Hybrid,39
SEC00226,2025FA,SCH02,PRG0202,0202-200,02,In Person,31
SEC00227,2025FA,SCH02,PRG0203,0203-150,01,Online,25
SEC00228,2025FA,SCH02,PRG0203,0203-200,02,Online,35
SEC00229,2025FA,SCH03,PRG0301,0301-150,01,Hybrid,42
SEC00230,2025FA,SCH03,PRG0301,0301-200,02,Hybrid,30
SEC00231,2025FA,SCH03,PRG0302,0302-150,01,Hybrid,29
SEC00232,2025FA,SCH03,PRG0302,0302-200,02,Online,37
SEC00233,2025FA,SCH03,PRG0303,0303-150,01,In Person,26
SEC00234,2025FA,SCH03,PRG0303,0303-200,02,Online,28
SEC00235,2025FA,SCH04,PRG0401,0401-150,01,In Person,34
SEC00236,2025FA,SCH04,PRG0401,0401-200,02,In Person,34
SEC00237,2025FA,SCH04,PRG0402,0402-150,01,In Person,26
SEC00238,2025FA,SCH04,PRG0402,0402-200,02,Hybrid,30
SEC00239,2025FA,SCH04,PRG0403,0403-150,01,Hybrid,41
SEC00240,2025FA,SCH04,PRG0403,0403-200,02,Online,37
SEC00241,2025FA,SCH05,PRG0501,0501-150,01,Hybrid,42
SEC00242,2025FA,SCH05,PRG0501,0501-200,02,Online,41
SEC00243,2025FA,SCH05,PRG0502,0502-150,01,In Person,29
SEC00244,2025FA,SCH05,PRG0502,0502-200,02,Hybrid,38
SEC00245,2025FA,SCH05,PRG0503,0503-150,01,In Person,42
SEC00246,2025FA,SCH05,PRG0503,0503-200,02,In Person,24
SEC00247,2025FA,SCH06,PRG0601,0601-150,01,Hybrid,41
SEC00248,2025FA,SCH06,PRG0601,0601-200,02,Online,34
SEC00249,2025FA,SCH06,PRG0602,0602-150,01,Hybrid,30
SEC00250,2025FA,SCH06,PRG0602,0602-200,02,Online,33
SEC00251,2025FA,SCH06,PRG0603,0603-150,01,Hybrid,33
SEC00252,2025FA,SCH06,PRG0603,0603-200,02,Online,35
SEC00253,2025FA,SCH07,PRG0701,0701-150,01,In Person,26
SEC00254,2025FA,SCH07,PRG0701,0701-200,02,In Person,25
SEC00255,2025FA,SCH07,PRG0702,0702-150,01,In Person,25
SEC00256,2025FA,SCH07,PRG0702,0702-200,02,In Person,36
SEC00257,2025FA,SCH07,PRG0703,0703-150,01,Hybrid,31
SEC00258,2025FA,SCH07,PRG0703,0703-200,02,In Person,28
SEC00259,2025FA,SCH08,PRG0801,0801-150,01,In Person,36
SEC00260,2025FA,SCH08,PRG0801,0801-200,02,Online,28
SEC00261,2025FA,SCH08,PRG0802,0802-150,01,Online,38
SEC00262,2025FA,SCH08,PRG0802,0802-200,02,Hybrid,24
SEC00263,2025FA,SCH08,PRG0803,0803-150,01,Online,37
SEC00264,2025FA,SCH08,PRG0803,0803-200,02,In Person,32
SEC00265,2025FA,SCH09,PRG0901,0901-150,01,In Person,40
SEC00266,2025FA,SCH09,PRG0901,0901-200,02,In Person,42
SEC00267,2025FA,SCH09,PRG0902,0902-150,01,In Person,37
SEC00268,2025FA,SCH09,PRG0902,0902-200,02,Hybrid,25
SEC00269,2025FA,SCH09,PRG0903,0903-150,01,Hybrid,42
SEC00270,2025FA,SCH09,PRG0903,0903-200,02,Hybrid,42
SEC00271,2025FA,SCH10,PRG1001,1001-150,01,Hybrid,41
SEC00272,2025FA,SCH10,PRG1001,1001-200,02,In Person,30
SEC00273,2025FA,SCH10,PRG1002,1002-150,01,Hybrid,25
SEC00274,2025FA,SCH10,PRG1002,1002-200,02,In Person,34
SEC00275,2025FA,SCH10,PRG1003,1003-150,01,Hybrid,34
SEC00276,2025FA,SCH10,PRG1003,1003-200,02,In Person,25
SEC00277,2025FA,SCH11,PRG1101,1101-150,01,Online,29
SEC00278,2025FA,SCH11,PRG1101,1101-200,02,Hybrid,24
SEC00279,2025FA,SCH11,PRG1102,1102-150,01,Hybrid,29
SEC00280,2025FA,SCH11,PRG1102,1102-200,02,Hybrid,39
SEC00281,2025FA,SCH11,PRG1103,1103-150,01,In Person,42
SEC00282,2025FA,SCH11,PRG1103,1103-200,02,Online,39
SEC00283,2025FA,SCH12,PRG1201,1201-150,01,Online,40
SEC00284,2025FA,SCH12,PRG1201,1201-200,02,Online,29
SEC00285,2025FA,SCH12,PRG1202,1202-150,01,In Person,32
SEC00286,2025FA,SCH12,PRG1202,1202-200,02,Online,28
SEC00287,2025FA,SCH12,PRG1203,1203-150,01,In Person,30
SEC00288,2025FA,SCH12,PRG1203,1203-200,02,In Person,24
SEC00289,2026WI,SCH01,PRG0101,0101-150,01,Online,33
SEC00290,2026WI,SCH01,PRG0101,0101-200,02,In Person,31
SEC00291,2026WI,SCH01,PRG0102,0102-150,01,In Person,31
SEC00292,2026WI,SCH01,PRG0102,0102-200,02,In Person,34
SEC00293,2026WI,SCH01,PRG0103,0103-150,01,In Person,38
SEC00294,2026WI,SCH01,PRG0103,0103-200,02,Online,40
SEC00295,2026WI,SCH02,PRG0201,0201-150,01,Online,38
SEC00296,2026WI,SCH02,PRG0201,0201-200,02,Hybrid,34
SEC00297,2026WI,SCH02,PRG0202,0202-150,01,In Person,24
SEC00298,2026WI,SCH02,PRG0202,0202-200,02,In Person,39
SEC00299,2026WI,SCH02,PRG0203,0203-150,01,Hybrid,26
SEC00300,2026WI,SCH02,PRG0203,0203-200,02,Hybrid,35
SEC00301,2026WI,SCH03,PRG0301,0301-150,01,In Person,36
SEC00302,2026WI,SCH03,PRG0301,0301-200,02,In Person,33
SEC00303,2026WI,SCH03,PRG0302,0302-150,01,In Person,33
SEC00304,2026WI,SCH03,PRG0302,0302-200,02,In Person,34
SEC00305,2026WI,SCH03,PRG0303,0303-150,01,In Person,24
SEC00306,2026WI,SCH03,PRG0303,0303-200,02,Online,24
SEC00307,2026WI,SCH04,PRG0401,0401-150,01,In Person,37
SEC00308,2026WI,SCH04,PRG0401,0401-200,02,In Person,37
SEC00309,2026WI,SCH04,PRG0402,0402-150,01,Hybrid,29
SEC00310,2026WI,SCH04,PRG0402,0402-200,02,Hybrid,34
SEC00311,2026WI,SCH04,PRG0403,0403-150,01,Hybrid,27
SEC00312,2026WI,SCH04,PRG0403,0403-200,02,Online,31
SEC00313,2026WI,SCH05,PRG0501,0501-150,01,Hybrid,37
SEC00314,2026WI,SCH05,PRG0501,0501-200,02,Hybrid,34
SEC00315,2026WI,SCH05,PRG0502,0502-150,01,Online,27
SEC00316,2026WI,SCH05,PRG0502,0502-200,02,Online,33
SEC00317,2026WI,SCH05,PRG0503,0503-150,01,Online,27
SEC00318,2026WI,SCH05,PRG0503,0503-200,02,Hybrid,27
SEC00319,2026WI,SCH06,PRG0601,0601-150,01,Hybrid,34
SEC00320,2026WI,SCH06,PRG0601,0601-200,02,In Person,40
SEC00321,2026WI,SCH06,PRG0602,0602-150,01,Hybrid,40
SEC00322,2026WI,SCH06,PRG0602,0602-200,02,Online,24
SEC00323,2026WI,SCH06,PRG0603,0603-150,01,Online,37
SEC00324,2026WI,SCH06,PRG0603,0603-200,02,Hybrid,28
SEC00325,2026WI,SCH07,PRG0701,0701-150,01,In Person,36
SEC00326,2026WI,SCH07,PRG0701,0701-200,02,In Person,25
SEC00327,2026WI,SCH07,PRG0702,0702-150,01,In Person,30
SEC00328,2026WI,SCH07,PRG0702,0702-200,02,In Person,32
SEC00329,2026WI,SCH07,PRG0703,0703-150,01,In Person,40
SEC00330,2026WI,SCH07,PRG0703,0703-200,02,Online,38
SEC00331,2026WI,SCH08,PRG0801,0801-150,01,Online,33
SEC00332,2026WI,SCH08,PRG0801,0801-200,02,In Person,27
SEC00333,2026WI,SCH08,PRG0802,0802-150,01,Online,29
SEC00334,2026WI,SCH08,PRG0802,0802-200,02,Online,42
SEC00335,2026WI,SCH08,PRG0803,0803-150,01,Hybrid,24
SEC00336,2026WI,SCH08,PRG0803,0803-200,02,Online,38
SEC00337,2026WI,SCH09,PRG0901,0901-150,01,Online,41
SEC00338,2026WI,SCH09,PRG0901,0901-200,02,In Person,32
SEC00339,2026WI,SCH09,PRG0902,0902-150,01,Hybrid,37
SEC00340,2026WI,SCH09,PRG0902,0902-200,02,In Person,27
SEC00341,2026WI,SCH09,PRG0903,0903-150,01,Hybrid,42
SEC00342,2026WI,SCH09,PRG0903,0903-200,02,In Person,34
SEC00343,2026WI,SCH10,PRG1001,1001-150,01,Online,26
SEC00344,2026WI,SCH10,PRG1001,1001-200,02,Hybrid,32
SEC00345,2026WI,SCH10,PRG1002,1002-150,01,Online,35
SEC00346,2026WI,SCH10,PRG1002,1002-200,02,Hybrid,29
SEC00347,2026WI,SCH10,PRG1003,1003-150,01,Online,34
SEC00348,2026WI,SCH10,PRG1003,1003-200,02,Online,34
SEC00349,2026WI,SCH11,PRG1101,1101-150,01,Online,34
SEC00350,2026WI,SCH11,PRG1101,1101-200,02,Online,25
SEC00351,2026WI,SCH11,PRG1102,1102-150,01,Online,32
SEC00352,2026WI,SCH11,PRG1102,1102-200,02,Online,41
SEC00353,2026WI,SCH11,PRG1103,1103-150,01,Hybrid,33
SEC00354,2026WI,SCH11,PRG1103,1103-200,02,In Person,38
SEC00355,2026WI,SCH12,PRG1201,1201-150,01,Online,25
SEC00356,2026WI,SCH12,PRG1201,1201-200,02,Hybrid,30
SEC00357,2026WI,SCH12,PRG1202,1202-150,01,In Person,38
SEC00358,2026WI,SCH12,PRG1202,1202-200,02,Hybrid,33
SEC00359,2026WI,SCH12,PRG1203,1203-150,01,Hybrid,41
SEC00360,2026WI,SCH12,PRG1203,1203-200,02,Hybrid,28
SEC00361,2026SU,SCH01,PRG0101,0101-150,01,In Person,29
SEC00362,2026SU,SCH01,PRG0101,0101-200,02,Online,26
SEC00363,2026SU,SCH01,PRG0102,0102-150,01,Hybrid,25
SEC00364,2026SU,SCH01,PRG0102,0102-200,02,In Person,32
SEC00365,2026SU,SCH01,PRG0103,0103-150,01,In Person,39
SEC00366,2026SU,SCH01,PRG0103,0103-200,02,Hybrid,29
SEC00367,2026SU,SCH02,PRG0201,0201-150,01,Online,26
SEC00368,2026SU,SCH02,PRG0201,0201-200,02,Online,33
SEC00369,2026SU,SCH02,PRG0202,0202-150,01,Online,41
SEC00370,2026SU,SCH02,PRG0202,0202-200,02,Hybrid,40
SEC00371,2026SU,SCH02,PRG0203,0203-150,01,Hybrid,34
SEC00372,2026SU,SCH02,PRG0203,0203-200,02,Hybrid,37
SEC00373,2026SU,SCH03,PRG0301,0301-150,01,In Person,42
SEC00374,2026SU,SCH03,PRG0301,0301-200,02,Hybrid,36
SEC00375,2026SU,SCH03,PRG0302,0302-150,01,In Person,28
SEC00376,2026SU,SCH03,PRG0302,0302-200,02,Online,25
SEC00377,2026SU,SCH03,PRG0303,0303-150,01,Hybrid,33
SEC00378,2026SU,SCH03,PRG0303,0303-200,02,Online,27
SEC00379,2026SU,SCH04,PRG0401,0401-150,01,In Person,24
SEC00380,2026SU,SCH04,PRG0401,0401-200,02,Hybrid,32
SEC00381,2026SU,SCH04,PRG0402,0402-150,01,Hybrid,27
SEC00382,2026SU,SCH04,PRG0402,0402-200,02,Hybrid,34
SEC00383,2026SU,SCH04,PRG0403,0403-150,01,Hybrid,34
SEC00384,2026SU,SCH04,PRG0403,0403-200,02,Online,41
SEC00385,2026SU,SCH05,PRG0501,0501-150,01,Online,42
SEC00386,2026SU,SCH05,PRG0501,0501-200,02,In Person,36
SEC00387,2026SU,SCH05,PRG0502,0502-150,01,In Person,35
SEC00388,2026SU,SCH05,PRG0502,0502-200,02,Online,42
SEC00389,2026SU,SCH05,PRG0503,0503-150,01,In Person,38
SEC00390,2026SU,SCH05,PRG0503,0503-200,02,Online,25
SEC00391,2026SU,SCH06,PRG0601,0601-150,01,Hybrid,26
SEC00392,2026SU,SCH06,PRG0601,0601-200,02,Hybrid,26
SEC00393,2026SU,SCH06,PRG0602,0602-150,01,Online,40
