enrollment_id,student_id,term_id,school_id,program_id,census_enrolled_flag,ipeds_enrolled_flag,total_credit_hours,enrollment_status
ENR000080,STU00017,2026SU,SCH06,PRG0602,true,true,6.0,Enrolled
ENR000081,STU00017,2026WI,SCH06,PRG0602,true,true,6.0,Enrolled
ENR000082,STU00018,2024FA,SCH06,PRG0603,true,true,6.0,Enrolled
ENR000083,STU00018,2025FA,SCH06,PRG0603,true,true,3.0,Enrolled
ENR000084,STU00018,2025SU,SCH06,PRG0603,true,true,6.0,Enrolled
ENR000085,STU00018,2025WI,SCH06,PRG0603,true,true,6.0,Enrolled
ENR000086,STU00018,2026SU,SCH06,PRG0603,true,true,3.0,Enrolled
ENR000087,STU00018,2026WI,SCH06,PRG0603,true,true,6.0,Enrolled
ENR000088,STU00019,2024FA,SCH07,PRG0701,true,true,6.0,Enrolled
ENR000089,STU00019,2025FA,SCH07,PRG0701,true,true,6.0,Enrolled
ENR000090,STU00019,2025SU,SCH07,PRG0701,true,true,6.0,Enrolled
ENR000091,STU00019,2025WI,SCH07,PRG0701,true,true,3.0,Enrolled
ENR000092,STU00019,2026SU,SCH07,PRG0701,true,true,6.0,Enrolled
ENR000093,STU00019,2026WI,SCH07,PRG0701,true,true,6.0,Enrolled
ENR000094,STU00020,2024FA,SCH07,PRG0702,true,true,6.0,Enrolled
ENR000095,STU00020,2025FA,SCH07,PRG0702,true,true,6.0,Enrolled
ENR000096,STU00020,2025SU,SCH07,PRG0702,true,true,6.0,Enrolled
ENR000097,STU00020,2025WI,SCH07,PRG0702,true,true,6.0,Enrolled
ENR000098,STU00020,2026SU,SCH07,PRG0702,true,true,6.0,Enrolled
ENR000099,STU00020,2026WI,SCH07,PRG0702,true,true,6.0,Enrolled
ENR000100,STU00021,2025SU,SCH07,PRG0703,true,true,6.0,Enrolled
ENR000101,STU00021,2025WI,SCH07,PRG0703,true,true,3.0,Enrolled
ENR000102,STU00021,2026WI,SCH07,PRG0703,true,true,6.0,Enrolled
ENR000103,STU00022,2025SU,SCH08,PRG0801,true,true,6.0,Enrolled
ENR000104,STU00022,2025WI,SCH08,PRG0801,true,true,6.0,Enrolled
ENR000105,STU00022,2026SU,SCH08,PRG0801,true,true,6.0,Enrolled
ENR000106,STU00022,2026WI,SCH08,PRG0801,true,true,6.0,Enrolled
ENR000107,STU00023,2025FA,SCH08,PRG0802,true,true,6.0,Enrolled
ENR000108,STU00023,2025SU,SCH08,PRG0802,true,true,6.0,Enrolled
ENR000109,STU00023,2025WI,SCH08,PRG0802,true,true,6.0,Enrolled
ENR000110,STU00023,2026SU,SCH08,PRG0802,true,true,3.0,Enrolled
ENR000111,STU00023,2026WI,SCH08,PRG0802,true,true,6.0,Enrolled
ENR000112,STU00024,2025FA,SCH08,PRG0803,true,true,6.0,Enrolled
ENR000113,STU00024,2025SU,SCH08,PRG0803,true,true,6.0,Enrolled
ENR000114,STU00024,2025WI,SCH08,PRG0803,true,true,6.0,Enrolled
ENR000115,STU00024,2026WI,SCH08,PRG0803,true,true,6.0,Enrolled
ENR000116,STU00025,2024FA,SCH09,PRG0901,true,true,6.0,Enrolled
ENR000117,STU00025,2025FA,SCH09,PRG0901,true,true,6.0,Enrolled
ENR000118,STU00025,2025SU,SCH09,PRG0901,true,true,6.0,Enrolled
ENR000119,STU00026,2024FA,SCH09,PRG0902,true,true,6.0,Enrolled
ENR000120,STU00026,2025FA,SCH09,PRG0902,true,true,6.0,Enrolled
ENR000121,STU00026,2025SU,SCH09,PRG0902,true,true,3.0,Enrolled
ENR000122,STU00026,2025WI,SCH09,PRG0902,true,true,6.0,Enrolled
ENR000123,STU00026,2026SU,SCH09,PRG0902,true,true,6.0,Enrolled
ENR000124,STU00026,2026WI,SCH09,PRG0902,true,true,6.0,Enrolled
ENR000125,STU00027,2024FA,SCH09,PRG0903,true,true,6.0,Enrolled
ENR000126,STU00027,2025FA,SCH09,PRG0903,true,true,3.0,Enrolled
ENR000127,STU00027,2025SU,SCH09,PRG0903,true,true,6.0,Enrolled
ENR000128,STU00027,2025WI,SCH09,PRG0903,true,true,6.0,Enrolled
ENR000129,STU00027,2026WI,SCH09,PRG0903,true,true,6.0,Enrolled
ENR000130,STU00028,2024FA,SCH10,PRG1001,true,true,6.0,Enrolled
ENR000131,STU00028,2025FA,SCH10,PRG1001,true,true,6.0,Enrolled
ENR000132,STU00028,2025SU,SCH10,PRG1001,true,true,6.0,Enrolled
ENR000133,STU00028,2025WI,SCH10,PRG1001,true,true,3.0,Enrolled
ENR000134,STU00028,2026SU,SCH10,PRG1001,true,true,6.0,Enrolled
ENR000135,STU00028,2026WI,SCH10,PRG1001,true,true,6.0,Enrolled
ENR000136,STU00029,2024FA,SCH10,PRG1002,true,true,6.0,Enrolled
ENR000137,STU00029,2025FA,SCH10,PRG1002,true,true,6.0,Enrolled
ENR000138,STU00029,2026SU,SCH10,PRG1002,true,true,6.0,Enrolled
ENR000139,STU00029,2026WI,SCH10,PRG1002,true,true,6.0,Enrolled
ENR000140,STU00030,2024FA,SCH10,PRG1003,true,true,3.0,Enrolled
ENR000141,STU00030,2025FA,SCH10,PRG1003,true,true,6.0,Enrolled
ENR000142,STU00030,2025SU,SCH10,PRG1003,true,true,6.0,Enrolled
ENR000143,STU00030,2025WI,SCH10,PRG1003,true,true,6.0,Enrolled
ENR000144,STU00030,2026SU,SCH10,PRG1003,true,true,6.0,Enrolled
ENR000145,STU00030,2026WI,SCH10,PRG1003,true,true,6.0,Enrolled
ENR000146,STU00031,2025SU,SCH11,PRG1101,true,true,6.0,Enrolled
ENR000147,STU00031,2025WI,SCH11,PRG1101,true,true,6.0,Enrolled
ENR000148,STU00031,2026SU,SCH11,PRG1101,true,true,6.0,Enrolled
ENR000149,STU00031,2026WI,SCH11,PRG1101,true,true,6.0,Enrolled
ENR000150,STU00032,2024FA,SCH11,PRG1102,true,true,6.0,Enrolled
ENR000151,STU00032,2025SU,SCH11,PRG1102,true,true,6.0,Enrolled
ENR000152,STU00032,2025WI,SCH11,PRG1102,true,true,6.0,Enrolled
ENR000153,STU00032,2026SU,SCH11,PRG1102,true,true,6.0,Enrolled
ENR000154,STU00032,2026WI,SCH11,PRG1102,true,true,6.0,Enrolled
ENR000155,STU00033,2024FA,SCH11,PRG1103,true,true,6.0,Enrolled
ENR000156,STU00033,2025FA,SCH11,PRG1103,true,true,6.0,Enrolled
ENR000157,STU00033,2025SU,SCH11,PRG1103,true,true,6.0,Enrolled
ENR000158,STU00033,2025WI,SCH11,PRG1103,true,true,6.0,Enrolled
ENR000159,STU00033,2026SU,SCH11,PRG1103,true,true,6.0,Enrolled
ENR000160,STU00033,2026WI,SCH11,PRG1103,true,true,6.0,Enrolled
ENR000161,STU00034,2024FA,SCH12,PRG1201,true,true,6.0,Enrolled
ENR000162,STU00034,2025FA,SCH12,PRG1201,true,true,6.0,Enrolled
ENR000163,STU00034,2025SU,SCH12,PRG1201,true,true,6.0,Enrolled
ENR000164,STU00034,2025WI,SCH12,PRG1201,true,true,6.0,Enrolled
ENR000165,STU00034,2026WI,SCH12,PRG1201,true,true,6.0,Enrolled
ENR000166,STU00035,2024FA,SCH12,PRG1202,true,true,6.0,Enrolled
ENR000167,STU00035,2025FA,SCH12,PRG1202,true,true,3.0,Enrolled
ENR000168,STU00035,2025SU,SCH12,PRG1202,true,true,6.0,Enrolled
ENR000169,STU00036,2024FA,SCH12,PRG1203,true,true,6.0,Enrolled
ENR000170,STU00036,2025FA,SCH12,PRG1203,true,true,6.0,Enrolled
ENR000171,STU00036,2025SU,SCH12,PRG1203,true,true,6.0,Enrolled
ENR000172,STU00036,2025WI,SCH12,PRG1203,true,true,6.0,Enrolled
ENR000173,STU00036,2026SU,SCH12,PRG1203,true,true,3.0,Enrolled
ENR000174,STU00036,2026WI,SCH12,PRG1203,true,true,6.0,Enrolled
ENR000175,STU00037,2024FA,SCH01,PRG0101,true,true,6.0,Enrolled
ENR000176,STU00037,2025FA,SCH01,PRG0101,true,true,6.0,Enrolled
ENR000177,STU00037,2025SU,SCH01,PRG0101,true,true,6.0,Enrolled
ENR000178,STU00037,2025WI,SCH01,PRG0101,true,true,6.0,Enrolled
ENR000179,STU00037,2026WI,SCH01,PRG0101,true,true,6.0,Enrolled
ENR000180,STU00038,2024FA,SCH01,PRG0102,true,true,6.0,Enrolled
ENR000181,STU00038,2025FA,SCH01,PRG0102,true,true,6.0,Enrolled
ENR000182,STU00038,2025SU,SCH01,PRG0102,true,true,3.0,Enrolled
ENR000183,STU00038,2026SU,SCH01,PRG0102,true,true,6.0,Enrolled
ENR000184,STU00038,2026WI,SCH01,PRG0102,true,true,6.0,Enrolled
ENR000185,STU00039,2025FA,SCH01,PRG0103,true,true,6.0,Enrolled
ENR000186,STU00039,2025SU,SCH01,PRG0103,true,true,6.0,Enrolled
ENR000187,STU00039,2025WI,SCH01,PRG0103,true,true,6.0,Enrolled
ENR000188,STU00039,2026SU,SCH01,PRG0103,true,true,6.0,Enrolled
ENR000189,STU00039,2026WI,SCH01,PRG0103,true,true,6.0,Enrolled
ENR000190,STU00040,2024FA,SCH02,PRG0201,true,true,6.0,Enrolled
ENR000191,STU00040,2025FA,SCH02,PRG0201,true,true,6.0,Enrolled
ENR000192,STU00040,2025SU,SCH02,PRG0201,true,true,6.0,Enrolled
ENR000193,STU00040,2025WI,SCH02,PRG0201,true,true,6.0,Enrolled
ENR000194,STU00040,2026WI,SCH02,PRG0201,true,true,3.0,Enrolled
ENR000195,STU00041,2024FA,SCH02,PRG0202,true,true,6.0,Enrolled
ENR000196,STU00041,2025FA,SCH02,PRG0202,true,true,6.0,Enrolled
ENR000197,STU00041,2025SU,SCH02,PRG0202,true,true,6.0,Enrolled
ENR000198,STU00041,2025WI,SCH02,PRG0202,true,true,6.0,Enrolled
ENR000199,STU00041,2026SU,SCH02,PRG0202,true,true,3.0,Enrolled
ENR000200,STU00041,2026WI,SCH02,PRG0202,true,true,6.0,Enrolled
ENR000201,STU00042,2024FA,SCH02,PRG0203,true,true,6.0,Enrolled
ENR000202,STU00042,2025FA,SCH02,PRG0203,true,true,6.0,Enrolled
ENR000203,STU00042,2025WI,SCH02,PRG0203,true,true,6.0,Enrolled
ENR000204,STU00042,2026SU,SCH02,PRG0203,true,true,6.0,Enrolled
ENR000205,STU00042,2026WI,SCH02,PRG0203,true,true,6.0,Enrolled
ENR000206,STU00043,2024FA,SCH03,PRG0301,true,true,6.0,Enrolled
ENR000207,STU00043,2025FA,SCH03,PRG0301,true,true,6.0,Enrolled
ENR000208,STU00043,2025SU,SCH03,PRG0301,true,true,6.0,Enrolled
ENR000209,STU00043,2025WI,SCH03,PRG0301,true,true,6.0,Enrolled
ENR000210,STU00043,2026SU,SCH03,PRG0301,true,true,6.0,Enrolled
ENR000211,STU00043,2026WI,SCH03,PRG0301,true,true,6.0,Enrolled
ENR000212,STU00044,2024FA,SCH03,PRG0302,true,true,6.0,Enrolled
ENR000213,STU00044,2025FA,SCH03,PRG0302,true,true,6.0,Enrolled
ENR000214,STU00044,2025SU,SCH03,PRG0302,true,true,6.0,Enrolled
ENR000215,STU00044,2025WI,SCH03,PRG0302,true,true,6.0,Enrolled
ENR000216,STU00044,2026SU,SCH03,PRG0302,true,true,3.0,Enrolled
ENR000217,STU00045,2025FA,SCH03,PRG0303,true,true,6.0,Enrolled
ENR000218,STU00045,2025SU,SCH03,PRG0303,true,true,6.0,Enrolled
ENR000219,STU00045,2026SU,SCH03,PRG0303,true,true,6.0,Enrolled
ENR000220,STU00046,2025FA,SCH04,PRG0401,true,true,6.0,Enrolled
ENR000221,STU00046,2025SU,SCH04,PRG0401,true,true,6.0,Enrolled
ENR000222,STU00046,2025WI,SCH04,PRG0401,true,true,6.0,Enrolled
ENR000223,STU00046,2026SU,SCH04,PRG0401,true,true,6.0,Enrolled
ENR000224,STU00046,2026WI,SCH04,PRG0401,true,true,6.0,Enrolled
ENR000225,STU00047,2024FA,SCH04,PRG0402,true,true,6.0,Enrolled
ENR000226,STU00047,2025FA,SCH04,PRG0402,true,true,6.0,Enrolled
ENR000227,STU00047,2026WI,SCH04,PRG0402,true,true,6.0,Enrolled
ENR000228,STU00048,2024FA,SCH04,PRG0403,true,true,6.0,Enrolled
ENR000229,STU00048,2025WI,SCH04,PRG0403,true,true,6.0,Enrolled
ENR000230,STU00048,2026SU,SCH04,PRG0403,true,true,6.0,Enrolled
ENR000231,STU00048,2026WI,SCH04,PRG0403,true,true,6.0,Enrolled
ENR000232,STU00049,2025FA,SCH05,PRG0501,true,true,6.0,Enrolled
ENR000233,STU00049,2026SU,SCH05,PRG0501,true,true,6.0,Enrolled
ENR000234,STU00049,2026WI,SCH05,PRG0501,true,true,6.0,Enrolled
ENR000235,STU00050,2024FA,SCH05,PRG0502,true,true,6.0,Enrolled
ENR000236,STU00050,2025SU,SCH05,PRG0502,true,true,6.0,Enrolled
ENR000237,STU00050,2026SU,SCH05,PRG0502,true,true,6.0,Enrolled
ENR000238,STU00051,2024FA,SCH05,PRG0503,true,true,6.0,Enrolled
ENR000239,STU00051,2025WI,SCH05,PRG0503,true,true,6.0,Enrolled
ENR000240,STU00051,2026SU,SCH05,PRG0503,true,true,6.0,Enrolled
ENR000241,STU00051,2026WI,SCH05,PRG0503,true,true,6.0,Enrolled
ENR000242,STU00052,2025FA,SCH06,PRG0601,true,true,6.0,Enrolled
ENR000243,STU00052,2025SU,SCH06,PRG0601,false,false,0.0,Not Enrolled
ENR000244,STU00052,2025WI,SCH06,PRG0601,true,true,6.0,Enrolled
ENR000245,STU00052,2026SU,SCH06,PRG0601,true,true,6.0,Enrolled
ENR000246,STU00052,2026WI,SCH06,PRG0601,true,true,3.0,Enrolled
ENR000247,STU00053,2024FA,SCH06,PRG0602,true,true,6.0,Enrolled
ENR000248,STU00053,2025SU,SCH06,PRG0602,true,true,6.0,Enrolled
ENR000249,STU00053,2025WI,SCH06,PRG0602,true,true,6.0,Enrolled
ENR000250,STU00053,2026SU,SCH06,PRG0602,true,true,3.0,Enrolled
ENR000251,STU00053,2026WI,SCH06,PRG0602,true,true,6.0,Enrolled
ENR000252,STU00054,2024FA,SCH06,PRG0603,true,true,6.0,Enrolled
ENR000253,STU00054,2025FA,SCH06,PRG0603,true,true,6.0,Enrolled
ENR000254,STU00054,2025SU,SCH06,PRG0603,true,true,6.0,Enrolled
ENR000255,STU00054,2025WI,SCH06,PRG0603,true,true,6.0,Enrolled
ENR000256,STU00054,2026SU,SCH06,PRG0603,true,true,6.0,Enrolled
ENR000257,STU00054,2026WI,SCH06,PRG0603,true,true,6.0,Enrolled
ENR000258,STU00055,2025FA,SCH07,PRG0701,true,true,6.0,Enrolled
ENR000259,STU00055,2025SU,SCH07,PRG0701,true,true,6.0,Enrolled
ENR000260,STU00055,2025WI,SCH07,PRG0701,true,true,6.0,Enrolled
ENR000261,STU00055,2026SU,SCH07,PRG0701,true,true,6.0,Enrolled
ENR000262,STU00055,2026WI,SCH07,PRG0701,true,true,3.0,Enrolled
ENR000263,STU00056,2024FA,SCH07,PRG0702,true,true,6.0,Enrolled
ENR000264,STU00056,2025FA,SCH07,PRG0702,true,true,6.0,Enrolled
ENR000265,STU00056,2026SU,SCH07,PRG0702,true,true,6.0,Enrolled
ENR000266,STU00057,2025FA,SCH07,PRG0703,true,true,6.0,Enrolled
ENR000267,STU00057,2026SU,SCH07,PRG0703,true,true,3.0,Enrolled
ENR000268,STU00057,2026WI,SCH07,PRG0703,true,true,6.0,Enrolled
ENR000269,STU00058,2024FA,SCH08,PRG0801,true,true,3.0,Enrolled
ENR000270,STU00058,2025FA,SCH08,PRG0801,true,true,3.0,Enrolled
ENR000271,STU00058,2025SU,SCH08,PRG0801,true,true,6.0,Enrolled
ENR000272,STU00058,2026SU,SCH08,PRG0801,true,true,6.0,Enrolled
ENR000273,STU00058,2026WI,SCH08,PRG0801,true,true,6.0,Enrolled
ENR000274,STU00059,2025SU,SCH08,PRG0802,true,true,6.0,Enrolled
ENR000275,STU00059,2026SU,SCH08,PRG0802,true,true,6.0,Enrolled
ENR000276,STU00059,2026WI,SCH08,PRG0802,true,true,3.0,Enrolled
ENR000277,STU00060,2024FA,SCH08,PRG0803,true,true,6.0,Enrolled
ENR000278,STU00060,2025SU,SCH08,PRG0803,true,true,6.0,Enrolled
ENR000279,STU00060,2025WI,SCH08,PRG0803,true,true,6.0,Enrolled
ENR000280,STU00060,2026WI,SCH08,PRG0803,true,true,6.0,Enrolled
ENR000281,STU00061,2024FA,SCH09,PRG0901,true,true,6.0,Enrolled
ENR000282,STU00061,2025FA,SCH09,PRG0901,true,true,6.0,Enrolled
ENR000283,STU00061,2025SU,SCH09,PRG0901,true,true,6.0,Enrolled
ENR000284,STU00061,2025WI,SCH09,PRG0901,true,true,6.0,Enrolled
ENR000285,STU00061,2026WI,SCH09,PRG0901,true,true,6.0,Enrolled
ENR000286,STU00062,2024FA,SCH09,PRG0902,true,true,3.0,Enrolled
ENR000287,STU00062,2025FA,SCH09,PRG0902,true,true,6.0,Enrolled
ENR000288,STU00062,2025SU,SCH09,PRG0902,true,true,3.0,Enrolled
ENR000289,STU00062,2025WI,SCH09,PRG0902,true,true,6.0,Enrolled
ENR000290,STU00062,2026SU,SCH09,PRG0902,true,true,3.0,Enrolled
ENR000291,STU00062,2026WI,SCH09,PRG0902,true,true,6.0,Enrolled
ENR000292,STU00063,2025WI,SCH09,PRG0903,true,true,6.0,Enrolled
ENR000293,STU00063,2026SU,SCH09,PRG0903,true,true,6.0,Enrolled
ENR000294,STU00063,2026WI,SCH09,PRG0903,true,true,6.0,Enrolled
ENR000295,STU00064,2024FA,SCH10,PRG1001,true,true,6.0,Enrolled
ENR000296,STU00064,2025FA,SCH10,PRG1001,true,true,6.0,Enrolled
ENR000297,STU00064,2025SU,SCH10,PRG1001,true,true,6.0,Enrolled
ENR000298,STU00064,2025WI,SCH10,PRG1001,true,true,6.0,Enrolled
ENR000299,STU00064,2026WI,SCH10,PRG1001,true,true,6.0,Enrolled
ENR000300,STU00065,2024FA,SCH10,PRG1002,true,true,6.0,Enrolled
ENR000301,STU00065,2025FA,SCH10,PRG1002,true,true,6.0,Enrolled
ENR000302,STU00065,2026SU,SCH10,PRG1002,true,true,6.0,Enrolled
ENR000303,STU00065,2026WI,SCH10,PRG1002,true,true,6.0,Enrolled
ENR000304,STU00066,2024FA,SCH10,PRG1003,true,true,6.0,Enrolled
ENR000305,STU00066,2025FA,SCH10,PRG1003,true,true,6.0,Enrolled
ENR000306,STU00066,2025SU,SCH10,PRG1003,true,true,6.0,Enrolled
ENR000307,STU00066,2025WI,SCH10,PRG1003,true,true,6.0,Enrolled
ENR000308,STU00066,2026SU,SCH10,PRG1003,true,true,6.0,Enrolled
ENR000309,STU00067,2024FA,SCH11,PRG1101,true,true,6.0,Enrolled
ENR000310,STU00067,2025FA,SCH11,PRG1101,true,true,6.0,Enrolled
ENR000311,STU00067,2025SU,SCH11,PRG1101,true,true,6.0,Enrolled
ENR000312,STU00067,2025WI,SCH11,PRG1101,true,true,6.0,Enrolled
ENR000313,STU00067,2026SU,SCH11,PRG1101,true,true,6.0,Enrolled
ENR000314,STU00067,2026WI,SCH11,PRG1101,true,true,6.0,Enrolled
ENR000315,STU00068,2024FA,SCH11,PRG1102,true,true,6.0,Enrolled
ENR000316,STU00068,2025FA,SCH11,PRG1102,true,true,6.0,Enrolled
ENR000317,STU00068,2026WI,SCH11,PRG1102,true,true,6.0,Enrolled
ENR000318,STU00069,2024FA,SCH11,PRG1103,true,true,6.0,Enrolled
ENR000319,STU00069,2025SU,SCH11,PRG1103,true,true,3.0,Enrolled
ENR000320,STU00069,2025WI,SCH11,PRG1103,true,true,6.0,Enrolled
ENR000321,STU00069,2026WI,SCH11,PRG1103,true,true,3.0,Enrolled
ENR000322,STU00070,2024FA,SCH12,PRG1201,true,true,6.0,Enrolled
ENR000323,STU00070,2025FA,SCH12,PRG1201,true,true,6.0,Enrolled
ENR000324,STU00070,2025SU,SCH12,PRG1201,true,true,6.0,Enrolled
ENR000325,STU00070,2025WI,SCH12,PRG1201,true,true,6.0,Enrolled
ENR000326,STU00070,2026SU,SCH12,PRG1201,true,true,6.0,Enrolled
ENR000327,STU00070,2026WI,SCH12,PRG1201,true,true,6.0,Enrolled
ENR000328,STU00071,2024FA,SCH12,PRG1202,true,true,6.0,Enrolled
ENR000329,STU00071,2025SU,SCH12,PRG1202,true,true,6.0,Enrolled
ENR000330,STU00071,2025WI,SCH12,PRG1202,true,true,3.0,Enrolled
ENR000331,STU00071,2026WI,SCH12,PRG1202,true,true,6.0,Enrolled
ENR000332,STU00072,2024FA,SCH12,PRG1203,true,true,6.0,Enrolled
ENR000333,STU00072,2025FA,SCH12,PRG1203,true,true,6.0,Enrolled
ENR000334,STU00072,2025WI,SCH12,PRG1203,true,true,6.0,Enrolled
ENR000335,STU00072,2026WI,SCH12,PRG1203,true,true,6.0,Enrolled
ENR000336,STU00073,2024FA,SCH01,PRG0101,true,true,6.0,Enrolled
ENR000337,STU00073,2025FA,SCH01,PRG0101,true,true,3.0,Enrolled
ENR000338,STU00073,2025WI,SCH01,PRG0101,true,true,6.0,Enrolled
