registration_id,student_id,section_id,term_id,registration_date,registration_status,credit_hours,grade_mode
REG000206,STU00022,SEC00188,2025SU,2025-04-12,Registered,3.0,Pass Fail
REG000207,STU00022,SEC00116,2025WI,2025-01-05,Registered,3.0,Pass Fail
REG000208,STU00022,SEC00115,2025WI,2024-12-15,Registered,3.0,Audit
REG000209,STU00022,SEC00404,2026SU,2026-04-12,Registered,3.0,Pass Fail
REG000210,STU00022,SEC00403,2026SU,2026-04-29,Registered,3.0,Letter
REG000211,STU00022,SEC00332,2026WI,2025-12-10,Registered,3.0,Audit
REG000212,STU00022,SEC00331,2026WI,2025-12-29,Registered,3.0,Pass Fail
REG000213,STU00023,SEC00262,2025FA,2025-08-12,Registered,3.0,Letter
REG000214,STU00023,SEC00261,2025FA,2025-08-12,Registered,3.0,Pass Fail
REG000215,STU00023,SEC00189,2025SU,2025-04-23,Registered,3.0,Letter
REG000216,STU00023,SEC00190,2025SU,2025-04-24,Registered,3.0,Letter
REG000217,STU00023,SEC00117,2025WI,2024-12-17,Registered,3.0,Pass Fail
REG000218,STU00023,SEC00118,2025WI,2024-12-12,Registered,3.0,Letter
REG000219,STU00023,SEC00405,2026SU,2026-04-30,Dropped,0.0,Pass Fail
REG000220,STU00023,SEC00406,2026SU,2026-05-01,Registered,3.0,Pass Fail
REG000221,STU00023,SEC00333,2026WI,2025-12-25,Registered,3.0,Audit
REG000222,STU00023,SEC00334,2026WI,2025-12-29,Registered,3.0,Pass Fail
REG000223,STU00024,SEC00264,2025FA,2025-07-25,Registered,3.0,Audit
REG000224,STU00024,SEC00263,2025FA,2025-08-05,Withdrawn,3.0,Audit
REG000225,STU00024,SEC00191,2025SU,2025-05-02,Registered,3.0,Audit
REG000226,STU00024,SEC00192,2025SU,2025-04-08,Registered,3.0,Audit
REG000227,STU00024,SEC00119,2025WI,2024-12-10,Registered,3.0,Pass Fail
REG000228,STU00024,SEC00120,2025WI,2024-12-30,Registered,3.0,Pass Fail
REG000229,STU00024,SEC00335,2026WI,2025-12-15,Registered,3.0,Letter
REG000230,STU00024,SEC00336,2026WI,2025-12-08,Registered,3.0,Audit
REG000231,STU00025,SEC00050,2024FA,2024-08-10,Registered,3.0,Letter
REG000232,STU00025,SEC00049,2024FA,2024-08-13,Withdrawn,3.0,Pass Fail
REG000233,STU00025,SEC00265,2025FA,2025-07-28,Registered,3.0,Audit
REG000234,STU00025,SEC00266,2025FA,2025-08-13,Registered,3.0,Audit
REG000235,STU00025,SEC00193,2025SU,2025-04-23,Registered,3.0,Pass Fail
REG000236,STU00025,SEC00194,2025SU,2025-04-15,Registered,3.0,Audit
REG000237,STU00026,SEC00051,2024FA,2024-08-09,Registered,3.0,Pass Fail
REG000238,STU00026,SEC00052,2024FA,2024-08-10,Registered,3.0,Pass Fail
REG000239,STU00026,SEC00267,2025FA,2025-08-02,Registered,3.0,Letter
REG000240,STU00026,SEC00268,2025FA,2025-07-31,Registered,3.0,Letter
REG000241,STU00026,SEC00195,2025SU,2025-04-24,Dropped,0.0,Pass Fail
REG000242,STU00026,SEC00196,2025SU,2025-04-25,Registered,3.0,Letter
REG000243,STU00026,SEC00123,2025WI,2024-12-18,Registered,3.0,Letter
REG000244,STU00026,SEC00124,2025WI,2025-01-05,Registered,3.0,Pass Fail
REG000245,STU00026,SEC00412,2026SU,2026-04-10,Registered,3.0,Audit
REG000246,STU00026,SEC00411,2026SU,2026-04-26,Registered,3.0,Letter
REG000247,STU00026,SEC00339,2026WI,2025-12-24,Registered,3.0,Audit
REG000248,STU00026,SEC00340,2026WI,2025-12-21,Registered,3.0,Pass Fail
REG000249,STU00027,SEC00054,2024FA,2024-08-01,Registered,3.0,Audit
REG000250,STU00027,SEC00053,2024FA,2024-08-11,Registered,3.0,Letter
REG000251,STU00027,SEC00270,2025FA,2025-07-26,Registered,3.0,Audit
REG000252,STU00027,SEC00269,2025FA,2025-08-16,Dropped,0.0,Letter
REG000253,STU00027,SEC00198,2025SU,2025-04-20,Registered,3.0,Audit
REG000254,STU00027,SEC00197,2025SU,2025-04-23,Registered,3.0,Audit
REG000255,STU00027,SEC00126,2025WI,2024-12-26,Registered,3.0,Pass Fail
REG000256,STU00027,SEC00125,2025WI,2024-12-18,Registered,3.0,Pass Fail
REG000257,STU00027,SEC00341,2026WI,2025-12-10,Registered,3.0,Pass Fail
REG000258,STU00027,SEC00342,2026WI,2025-12-20,Registered,3.0,Letter
REG000259,STU00028,SEC00056,2024FA,2024-08-02,Registered,3.0,Letter
REG000260,STU00028,SEC00055,2024FA,2024-07-23,Registered,3.0,Audit
REG000261,STU00028,SEC00272,2025FA,2025-08-02,Registered,3.0,Letter
REG000262,STU00028,SEC00271,2025FA,2025-07-22,Registered,3.0,Letter
REG000263,STU00028,SEC00199,2025SU,2025-04-22,Registered,3.0,Letter
REG000264,STU00028,SEC00200,2025SU,2025-04-22,Registered,3.0,Letter
REG000265,STU00028,SEC00127,2025WI,2024-12-26,Withdrawn,3.0,Letter
REG000266,STU00028,SEC00128,2025WI,2024-12-21,Dropped,0.0,Letter
REG000267,STU00028,SEC00415,2026SU,2026-04-21,Registered,3.0,Letter
REG000268,STU00028,SEC00416,2026SU,2026-04-10,Registered,3.0,Letter
REG000269,STU00028,SEC00343,2026WI,2025-12-25,Registered,3.0,Letter
REG000270,STU00028,SEC00344,2026WI,2025-12-16,Registered,3.0,Audit
REG000271,STU00029,SEC00057,2024FA,2024-08-11,Registered,3.0,Pass Fail
REG000272,STU00029,SEC00058,2024FA,2024-07-26,Registered,3.0,Letter
REG000273,STU00029,SEC00274,2025FA,2025-08-14,Registered,3.0,Letter
REG000274,STU00029,SEC00273,2025FA,2025-08-13,Registered,3.0,Letter
REG000275,STU00029,SEC00418,2026SU,2026-04-25,Registered,3.0,Audit
REG000276,STU00029,SEC00417,2026SU,2026-04-24,Registered,3.0,Letter
REG000277,STU00029,SEC00345,2026WI,2025-12-23,Registered,3.0,Audit
REG000278,STU00029,SEC00346,2026WI,2025-12-18,Registered,3.0,Audit
REG000279,STU00030,SEC00060,2024FA,2024-08-06,Dropped,0.0,Pass Fail
REG000280,STU00030,SEC00059,2024FA,2024-08-11,Registered,3.0,Pass Fail
REG000281,STU00030,SEC00276,2025FA,2025-08-01,Registered,3.0,Letter
REG000282,STU00030,SEC00275,2025FA,2025-08-10,Registered,3.0,Audit
REG000283,STU00030,SEC00203,2025SU,2025-04-12,Registered,3.0,Pass Fail
REG000284,STU00030,SEC00204,2025SU,2025-05-03,Registered,3.0,Letter
REG000285,STU00030,SEC00131,2025WI,2025-01-02,Registered,3.0,Audit
REG000286,STU00030,SEC00132,2025WI,2024-12-14,Withdrawn,3.0,Letter
REG000287,STU00030,SEC00420,2026SU,2026-04-19,Registered,3.0,Audit
REG000288,STU00030,SEC00419,2026SU,2026-04-06,Registered,3.0,Audit
REG000289,STU00030,SEC00347,2026WI,2025-12-20,Registered,3.0,Audit
REG000290,STU00030,SEC00348,2026WI,2025-12-29,Registered,3.0,Audit
REG000291,STU00031,SEC00205,2025SU,2025-04-30,Registered,3.0,Audit
REG000292,STU00031,SEC00206,2025SU,2025-05-01,Registered,3.0,Pass Fail
REG000293,STU00031,SEC00133,2025WI,2024-12-09,Registered,3.0,Pass Fail
REG000294,STU00031,SEC00134,2025WI,2025-01-04,Registered,3.0,Audit
REG000295,STU00031,SEC00422,2026SU,2026-04-08,Registered,3.0,Pass Fail
REG000296,STU00031,SEC00421,2026SU,2026-04-07,Registered,3.0,Audit
REG000297,STU00031,SEC00350,2026WI,2025-12-16,Registered,3.0,Letter
REG000298,STU00031,SEC00349,2026WI,2025-12-22,Registered,3.0,Letter
REG000299,STU00032,SEC00063,2024FA,2024-07-28,Registered,3.0,Audit
REG000300,STU00032,SEC00064,2024FA,2024-07-29,Registered,3.0,Audit
REG000301,STU00032,SEC00207,2025SU,2025-04-20,Withdrawn,3.0,Pass Fail
REG000302,STU00032,SEC00208,2025SU,2025-04-22,Registered,3.0,Pass Fail
REG000303,STU00032,SEC00135,2025WI,2024-12-17,Registered,3.0,Letter
REG000304,STU00032,SEC00136,2025WI,2024-12-21,Registered,3.0,Audit
REG000305,STU00032,SEC00423,2026SU,2026-05-01,Registered,3.0,Pass Fail
REG000306,STU00032,SEC00424,2026SU,2026-05-01,Registered,3.0,Audit
REG000307,STU00032,SEC00352,2026WI,2025-12-17,Registered,3.0,Pass Fail
REG000308,STU00032,SEC00351,2026WI,2025-12-28,Registered,3.0,Pass Fail
REG000309,STU00033,SEC00066,2024FA,2024-08-06,Registered,3.0,Letter
REG000310,STU00033,SEC00065,2024FA,2024-07-30,Registered,3.0,Letter
REG000311,STU00033,SEC00281,2025FA,2025-08-07,Registered,3.0,Letter
REG000312,STU00033,SEC00282,2025FA,2025-08-08,Registered,3.0,Letter
REG000313,STU00033,SEC00210,2025SU,2025-04-25,Registered,3.0,Pass Fail
REG000314,STU00033,SEC00209,2025SU,2025-05-02,Registered,3.0,Audit
REG000315,STU00033,SEC00137,2025WI,2024-12-16,Registered,3.0,Pass Fail
REG000316,STU00033,SEC00138,2025WI,2024-12-16,Registered,3.0,Audit
REG000317,STU00033,SEC00426,2026SU,2026-04-27,Registered,3.0,Pass Fail
REG000318,STU00033,SEC00425,2026SU,2026-04-26,Registered,3.0,Letter
REG000319,STU00033,SEC00353,2026WI,2025-12-10,Registered,3.0,Audit
REG000320,STU00033,SEC00354,2026WI,2025-12-24,Registered,3.0,Letter
REG000321,STU00034,SEC00067,2024FA,2024-08-14,Registered,3.0,Letter
REG000322,STU00034,SEC00068,2024FA,2024-08-11,Registered,3.0,Pass Fail
REG000323,STU00034,SEC00283,2025FA,2025-08-06,Registered,3.0,Audit
REG000324,STU00034,SEC00284,2025FA,2025-08-14,Registered,3.0,Pass Fail
REG000325,STU00034,SEC00211,2025SU,2025-04-21,Registered,3.0,Pass Fail
REG000326,STU00034,SEC00212,2025SU,2025-05-03,Registered,3.0,Audit
REG000327,STU00034,SEC00139,2025WI,2024-12-23,Registered,3.0,Audit
REG000328,STU00034,SEC00140,2025WI,2024-12-27,Registered,3.0,Letter
REG000329,STU00034,SEC00356,2026WI,2026-01-02,Registered,3.0,Letter
REG000330,STU00034,SEC00355,2026WI,2025-12-14,Registered,3.0,Letter
REG000331,STU00035,SEC00070,2024FA,2024-07-30,Registered,3.0,Audit
REG000332,STU00035,SEC00069,2024FA,2024-07-22,Registered,3.0,Pass Fail
REG000333,STU00035,SEC00285,2025FA,2025-07-22,Registered,3.0,Audit
REG000334,STU00035,SEC00286,2025FA,2025-07-25,Dropped,0.0,Letter
REG000335,STU00035,SEC00213,2025SU,2025-05-01,Registered,3.0,Audit
REG000336,STU00035,SEC00214,2025SU,2025-04-16,Registered,3.0,Audit
REG000337,STU00036,SEC00071,2024FA,2024-08-18,Registered,3.0,Pass Fail
REG000338,STU00036,SEC00072,2024FA,2024-08-03,Registered,3.0,Pass Fail
