application_id,student_id,term_id,school_id,program_id,application_date,application_status
APP00067,STU00230,2025FA,SCH04,PRG0403,2025-06-15,Submitted
APP00068,STU00237,2026WI,SCH06,PRG0602,2025-08-28,Submitted
APP00069,STU00004,2026SU,SCH08,PRG0801,2026-03-03,Submitted
APP00070,STU00011,2025WI,SCH09,PRG0903,2024-10-19,Submitted
APP00071,STU00018,2025SU,SCH11,PRG1102,2025-03-30,Submitted
APP00072,STU00025,2025FA,SCH01,PRG0101,2025-07-11,Submitted
APP00073,STU00032,2026WI,SCH02,PRG0203,2025-08-25,Submitted
APP00074,STU00039,2026SU,SCH04,PRG0402,2026-01-09,Cancelled
APP00075,STU00046,2025WI,SCH06,PRG0601,2024-10-27,Submitted
APP00076,STU00053,2025SU,SCH07,PRG0703,2025-01-26,Submitted
APP00077,STU00060,2025FA,SCH09,PRG0902,2025-05-25,Submitted
APP00078,STU00067,2026WI,SCH11,PRG1101,2025-10-31,Submitted
APP00079,STU00074,2026SU,SCH12,PRG1203,2026-03-06,Submitted
APP00080,STU00081,2025WI,SCH02,PRG0202,2024-10-28,Submitted
APP00081,STU00088,2025SU,SCH04,PRG0401,2025-03-29,Submitted
APP00082,STU00095,2025FA,SCH05,PRG0503,2025-05-26,Submitted
APP00083,STU00102,2026WI,SCH07,PRG0702,2025-12-01,Submitted
APP00084,STU00109,2026SU,SCH09,PRG0901,2026-01-03,Submitted
APP00085,STU00116,2025WI,SCH10,PRG1003,2024-08-29,Submitted
APP00086,STU00123,2025SU,SCH12,PRG1202,2024-12-30,Submitted
APP00087,STU00130,2025FA,SCH02,PRG0201,2025-05-06,Submitted
APP00088,STU00137,2026WI,SCH03,PRG0303,2025-10-14,Submitted
APP00089,STU00144,2026SU,SCH05,PRG0502,2026-02-20,Submitted
APP00090,STU00151,2025WI,SCH07,PRG0701,2024-10-28,Submitted
APP00091,STU00158,2025SU,SCH08,PRG0803,2025-02-12,Submitted
APP00092,STU00165,2025FA,SCH10,PRG1002,2025-05-13,Submitted
APP00093,STU00172,2026WI,SCH12,PRG1201,2025-11-15,Submitted
APP00094,STU00179,2026SU,SCH01,PRG0103,2026-02-12,Cancelled
APP00095,STU00186,2025WI,SCH03,PRG0302,2024-10-17,Submitted
APP00096,STU00193,2025SU,SCH05,PRG0501,2025-01-11,Submitted
APP00097,STU00200,2025FA,SCH06,PRG0603,2025-04-04,Submitted
APP00098,STU00207,2026WI,SCH08,PRG0802,2025-11-16,Submitted
APP00099,STU00214,2026SU,SCH10,PRG1001,2026-03-15,Submitted
APP00100,STU00221,2025WI,SCH11,PRG1103,2024-09-25,Submitted
APP00101,STU00228,2025SU,SCH01,PRG0102,2025-01-23,Submitted
APP00102,STU00235,2025FA,SCH03,PRG0301,2025-04-11,Submitted
APP00103,STU00002,2026WI,SCH04,PRG0403,2025-09-18,Submitted
APP00104,STU00009,2026SU,SCH06,PRG0602,2025-12-26,Submitted
APP00105,STU00016,2025WI,SCH08,PRG0801,2024-11-22,Submitted
APP00106,STU00023,2025SU,SCH09,PRG0903,2025-01-22,Submitted
APP00107,STU00030,2025FA,SCH11,PRG1102,2025-06-04,Submitted
APP00108,STU00037,2026WI,SCH01,PRG0101,2025-11-20,Cancelled
APP00109,STU00044,2026SU,SCH02,PRG0203,2026-03-30,Submitted
APP00110,STU00051,2025WI,SCH04,PRG0402,2024-08-22,Submitted
APP00111,STU00058,2025SU,SCH06,PRG0601,2025-02-12,Submitted
APP00112,STU00065,2025FA,SCH07,PRG0703,2025-04-29,Submitted
APP00113,STU00072,2026WI,SCH09,PRG0902,2025-11-13,Submitted
APP00114,STU00079,2026SU,SCH11,PRG1101,2026-02-21,Submitted
APP00115,STU00086,2025WI,SCH12,PRG1203,2024-09-11,Submitted
APP00116,STU00093,2025SU,SCH02,PRG0202,2025-03-18,Submitted
APP00117,STU00100,2025FA,SCH04,PRG0401,2025-06-22,Submitted
APP00118,STU00107,2026WI,SCH05,PRG0503,2025-11-29,Submitted
APP00119,STU00114,2026SU,SCH07,PRG0702,2026-02-15,Submitted
APP00120,STU00121,2025WI,SCH09,PRG0901,2024-10-19,Submitted
APP00121,STU00128,2025SU,SCH10,PRG1003,2025-03-10,Submitted
APP00122,STU00135,2025FA,SCH12,PRG1202,2025-07-13,Submitted
APP00123,STU00142,2026WI,SCH02,PRG0201,2025-11-03,Submitted
APP00124,STU00149,2026SU,SCH03,PRG0303,2025-12-26,Submitted
APP00125,STU00156,2025WI,SCH05,PRG0502,2024-10-09,Submitted
APP00126,STU00163,2025SU,SCH07,PRG0701,2025-01-11,Submitted
APP00127,STU00170,2025FA,SCH08,PRG0803,2025-04-20,Submitted
APP00128,STU00177,2026WI,SCH10,PRG1002,2025-10-16,Submitted
APP00129,STU00184,2026SU,SCH12,PRG1201,2025-12-24,Submitted
APP00130,STU00191,2025WI,SCH01,PRG0103,2024-10-10,Submitted
APP00131,STU00198,2025SU,SCH03,PRG0302,2025-01-12,Cancelled
APP00132,STU00205,2025FA,SCH05,PRG0501,2025-04-03,Submitted
APP00133,STU00212,2026WI,SCH06,PRG0603,2025-09-18,Submitted
APP00134,STU00219,2026SU,SCH08,PRG0802,2026-02-17,Submitted
APP00135,STU00226,2025WI,SCH10,PRG1001,2024-11-09,Cancelled
APP00136,STU00233,2025SU,SCH11,PRG1103,2025-03-19,Submitted
APP00137,STU00240,2025FA,SCH01,PRG0102,2025-06-14,Submitted
APP00138,STU00007,2026WI,SCH03,PRG0301,2025-08-19,Submitted
APP00139,STU00014,2026SU,SCH04,PRG0403,2026-03-27,Cancelled
APP00140,STU00021,2025WI,SCH06,PRG0602,2024-09-25,Submitted
APP00141,STU00028,2025SU,SCH08,PRG0801,2024-12-31,Submitted
APP00142,STU00035,2025FA,SCH09,PRG0903,2025-04-10,Submitted
APP00143,STU00042,2026WI,SCH11,PRG1102,2025-11-28,Submitted
APP00144,STU00049,2026SU,SCH01,PRG0101,2025-12-17,Submitted
APP00145,STU00056,2025WI,SCH02,PRG0203,2024-11-14,Cancelled
APP00146,STU00063,2025SU,SCH04,PRG0402,2025-03-13,Submitted
APP00147,STU00070,2025FA,SCH06,PRG0601,2025-05-23,Submitted
APP00148,STU00077,2026WI,SCH07,PRG0703,2025-11-17,Submitted
APP00149,STU00084,2026SU,SCH09,PRG0902,2026-03-23,Submitted
APP00150,STU00091,2025WI,SCH11,PRG1101,2024-12-01,Submitted
APP00151,STU00098,2025SU,SCH12,PRG1203,2024-12-29,Submitted
APP00152,STU00105,2025FA,SCH02,PRG0202,2025-05-11,Submitted
APP00153,STU00112,2026WI,SCH04,PRG0401,2025-08-23,Submitted
APP00154,STU00119,2026SU,SCH05,PRG0503,2026-01-01,Submitted
APP00155,STU00126,2025WI,SCH07,PRG0702,2024-09-20,Submitted
APP00156,STU00133,2025SU,SCH09,PRG0901,2024-12-22,Submitted
APP00157,STU00140,2025FA,SCH10,PRG1003,2025-05-24,Submitted
APP00158,STU00147,2026WI,SCH12,PRG1202,2025-09-20,Submitted
APP00159,STU00154,2026SU,SCH02,PRG0201,2026-02-22,Submitted
APP00160,STU00161,2025WI,SCH03,PRG0303,2024-10-13,Submitted
APP00161,STU00168,2025SU,SCH05,PRG0502,2025-01-31,Submitted
APP00162,STU00175,2025FA,SCH07,PRG0701,2025-06-11,Submitted
APP00163,STU00182,2026WI,SCH08,PRG0803,2025-09-26,Submitted
APP00164,STU00189,2026SU,SCH10,PRG1002,2025-12-31,Cancelled
APP00165,STU00196,2025WI,SCH12,PRG1201,2024-10-11,Submitted
APP00166,STU00203,2025SU,SCH01,PRG0103,2025-03-17,Submitted
APP00167,STU00210,2025FA,SCH03,PRG0302,2025-06-10,Submitted
APP00168,STU00217,2026WI,SCH05,PRG0501,2025-09-05,Submitted
APP00169,STU00224,2026SU,SCH06,PRG0603,2026-03-01,Submitted
APP00170,STU00231,2025WI,SCH08,PRG0802,2024-09-18,Submitted
APP00171,STU00238,2025SU,SCH10,PRG1001,2025-03-28,Submitted
APP00172,STU00005,2025FA,SCH11,PRG1103,2025-04-11,Submitted
APP00173,STU00012,2026WI,SCH01,PRG0102,2025-09-05,Submitted
APP00174,STU00019,2026SU,SCH03,PRG0301,2026-03-20,Submitted
APP00175,STU00026,2025WI,SCH04,PRG0403,2024-11-01,Submitted
APP00176,STU00033,2025SU,SCH06,PRG0602,2025-02-28,Submitted
APP00177,STU00040,2025FA,SCH08,PRG0801,2025-04-11,Submitted
APP00178,STU00047,2026WI,SCH09,PRG0903,2025-09-29,Submitted
APP00179,STU00054,2026SU,SCH11,PRG1102,2026-03-13,Submitted
APP00180,STU00061,2025WI,SCH01,PRG0101,2024-09-17,Submitted
APP00181,STU00068,2025SU,SCH02,PRG0203,2025-02-15,Submitted
APP00182,STU00075,2025FA,SCH04,PRG0402,2025-06-23,Submitted
APP00183,STU00082,2026WI,SCH06,PRG0601,2025-11-21,Submitted
APP00184,STU00089,2026SU,SCH07,PRG0703,2026-03-10,Submitted
APP00185,STU00096,2025WI,SCH09,PRG0902,2024-08-30,Submitted
APP00186,STU00103,2025SU,SCH11,PRG1101,2024-12-21,Submitted
APP00187,STU00110,2025FA,SCH12,PRG1203,2025-06-23,Submitted
APP00188,STU00117,2026WI,SCH02,PRG0202,2025-11-14,Submitted
APP00189,STU00124,2026SU,SCH04,PRG0401,2026-02-08,Submitted
APP00190,STU00131,2025WI,SCH05,PRG0503,2024-10-27,Submitted
APP00191,STU00138,2025SU,SCH07,PRG0702,2025-01-27,Submitted
APP00192,STU00145,2025FA,SCH09,PRG0901,2025-05-14,Submitted
APP00193,STU00152,2026WI,SCH10,PRG1003,2025-09-08,Submitted
APP00194,STU00159,2026SU,SCH12,PRG1202,2026-03-24,Submitted
APP00195,STU00166,2025WI,SCH02,PRG0201,2024-08-27,Submitted
APP00196,STU00173,2025SU,SCH03,PRG0303,2025-02-10,Submitted
APP00197,STU00180,2025FA,SCH05,PRG0502,2025-04-29,Cancelled
APP00198,STU00187,2026WI,SCH07,PRG0701,2025-10-04,Submitted
APP00199,STU00194,2026SU,SCH08,PRG0803,2026-02-17,Cancelled
APP00200,STU00201,2025WI,SCH10,PRG1002,2024-09-27,Submitted
APP00201,STU00208,2025SU,SCH12,PRG1201,2025-01-29,Submitted
APP00202,STU00215,2025FA,SCH01,PRG0103,2025-04-10,Submitted
APP00203,STU00222,2026WI,SCH03,PRG0302,2025-08-28,Submitted
APP00204,STU00229,2026SU,SCH05,PRG0501,2026-03-25,Submitted
APP00205,STU00236,2025WI,SCH06,PRG0603,2024-10-30,Submitted
APP00206,STU00003,2025SU,SCH08,PRG0802,2025-03-25,Submitted
APP00207,STU00010,2025FA,SCH10,PRG1001,2025-04-05,Submitted
APP00208,STU00017,2026WI,SCH11,PRG1103,2025-09-30,Submitted
APP00209,STU00024,2026SU,SCH01,PRG0102,2026-02-11,Submitted
APP00210,STU00031,2025WI,SCH03,PRG0301,2024-10-26,Cancelled
APP00211,STU00038,2025SU,SCH04,PRG0403,2025-03-28,Submitted
APP00212,STU00045,2025FA,SCH06,PRG0602,2025-05-26,Submitted
APP00213,STU00052,2026WI,SCH08,PRG0801,2025-11-07,Submitted
APP00214,STU00059,2026SU,SCH09,PRG0903,2026-03-10,Submitted
APP00215,STU00066,2025WI,SCH11,PRG1102,2024-10-07,Cancelled
APP00216,STU00073,2025SU,SCH01,PRG0101,2025-02-03,Submitted
APP00217,STU00080,2025FA,SCH02,PRG0203,2025-04-11,Submitted
APP00218,STU00087,2026WI,SCH04,PRG0402,2025-09-28,Submitted
APP00219,STU00094,2026SU,SCH06,PRG0601,2026-02-07,Submitted
APP00220,STU00101,2025WI,SCH07,PRG0703,2024-09-04,Submitted
APP00221,STU00108,2025SU,SCH09,PRG0902,2025-03-18,Submitted
APP00222,STU00115,2025FA,SCH11,PRG1101,2025-04-03,Submitted
APP00223,STU00122,2026WI,SCH12,PRG1203,2025-11-01,Submitted
APP00224,STU00129,2026SU,SCH02,PRG0202,2026-02-27,Submitted
APP00225,STU00136,2025WI,SCH04,PRG0401,2024-10-07,Cancelled
APP00226,STU00143,2025SU,SCH05,PRG0503,2025-01-14,Submitted
APP00227,STU00150,2025FA,SCH07,PRG0702,2025-04-19,Cancelled
APP00228,STU00157,2026WI,SCH09,PRG0901,2025-10-21,Submitted
APP00229,STU00164,2026SU,SCH10,PRG1003,2026-01-08,Submitted
APP00230,STU00171,2025WI,SCH12,PRG1202,2024-10-12,Submitted
APP00231,STU00178,2025SU,SCH02,PRG0201,2025-02-24,Submitted
APP00232,STU00185,2025FA,SCH03,PRG0303,2025-06-13,Submitted
APP00233,STU00192,2026WI,SCH05,PRG0502,2025-09-24,Submitted
APP00234,STU00199,2026SU,SCH07,PRG0701,2026-03-08,Submitted
APP00235,STU00206,2025WI,SCH08,PRG0803,2024-10-12,Submitted
APP00236,STU00213,2025SU,SCH10,PRG1002,2025-03-11,Submitted
APP00237,STU00220,2025FA,SCH12,PRG1201,2025-06-03,Submitted
APP00238,STU00227,2026WI,SCH01,PRG0103,2025-11-15,Submitted
APP00239,STU00234,2026SU,SCH03,PRG0302,2026-01-03,Submitted
APP00240,STU00001,2025WI,SCH05,PRG0501,2024-10-18,Submitted
APP00241,STU00008,2025SU,SCH06,PRG0603,2025-01-01,Submitted
APP00242,STU00015,2025FA,SCH08,PRG0802,2025-05-12,Submitted
APP00243,STU00022,2026WI,SCH10,PRG1001,2025-10-05,Submitted
APP00244,STU00029,2026SU,SCH11,PRG1103,2026-02-26,Submitted
APP00245,STU00036,2025WI,SCH01,PRG0102,2024-08-24,Submitted
APP00246,STU00043,2025SU,SCH03,PRG0301,2025-02-17,Submitted
APP00247,STU00050,2025FA,SCH04,PRG0403,2025-07-05,Submitted
APP00248,STU00057,2026WI,SCH06,PRG0602,2025-11-10,Submitted
APP00249,STU00064,2026SU,SCH08,PRG0801,2026-03-23,Submitted
APP00250,STU00071,2025WI,SCH09,PRG0903,2024-09-30,Submitted
APP00251,STU00078,2025SU,SCH11,PRG1102,2025-01-22,Cancelled
APP00252,STU00085,2025FA,SCH01,PRG0101,2025-05-04,Cancelled
APP00253,STU00092,2026WI,SCH02,PRG0203,2025-09-12,Submitted
APP00254,STU00099,2026SU,SCH04,PRG0402,2026-01-04,Submitted
APP00255,STU00106,2025WI,SCH06,PRG0601,2024-10-27,Submitted
APP00256,STU00113,2025SU,SCH07,PRG0703,2025-01-30,Cancelled
APP00257,STU00120,2025FA,SCH09,PRG0902,2025-05-03,Submitted
APP00258,STU00127,2026WI,SCH11,PRG1101,2025-11-04,Submitted
APP00259,STU00134,2026SU,SCH12,PRG1203,2025-12-19,Submitted
APP00260,STU00141,2025WI,SCH02,PRG0202,2024-10-03,Submitted
APP00261,STU00148,2025SU,SCH04,PRG0401,2025-01-13,Submitted
APP00262,STU00155,2025FA,SCH05,PRG0503,2025-07-05,Submitted
APP00263,STU00162,2026WI,SCH07,PRG0702,2025-08-28,Cancelled
APP00264,STU00169,2026SU,SCH09,PRG0901,2026-01-03,Submitted
APP00265,STU00176,2025WI,SCH10,PRG1003,2024-08-29,Submitted
APP00266,STU00183,2025SU,SCH12,PRG1202,2025-03-18,Submitted
APP00267,STU00190,2025FA,SCH02,PRG0201,2025-04-22,Submitted
APP00268,STU00197,2026WI,SCH03,PRG0303,2025-11-08,Submitted
APP00269,STU00204,2026SU,SCH05,PRG0502,2026-02-25,Submitted
APP00270,STU00211,2025WI,SCH07,PRG0701,2024-10-08,Submitted
APP00271,STU00218,2025SU,SCH08,PRG0803,2024-12-31,Submitted
APP00272,STU00225,2025FA,SCH10,PRG1002,2025-06-23,Submitted
APP00273,STU00232,2026WI,SCH12,PRG1201,2025-10-10,Submitted
APP00274,STU00239,2026SU,SCH01,PRG0103,2026-03-21,Submitted
APP00275,STU00006,2025WI,SCH03,PRG0302,2024-09-21,Submitted
APP00276,STU00013,2025SU,SCH05,PRG0501,2025-03-14,Submitted
APP00277,STU00020,2025FA,SCH06,PRG0603,2025-06-13,Submitted
APP00278,STU00027,2026WI,SCH08,PRG0802,2025-11-13,Submitted
APP00279,STU00034,2026SU,SCH10,PRG1001,2025-12-23,Submitted
APP00280,STU00041,2025WI,SCH11,PRG1103,2024-10-05,Submitted
APP00281,STU00048,2025SU,SCH01,PRG0102,2024-12-22,Submitted
APP00282,STU00055,2025FA,SCH03,PRG0301,2025-07-01,Submitted
APP00283,STU00062,2026WI,SCH04,PRG0403,2025-08-18,Submitted
APP00284,STU00069,2026SU,SCH06,PRG0602,2026-01-14,Submitted
APP00285,STU00076,2025WI,SCH08,PRG0801,2024-10-26,Cancelled
APP00286,STU00083,2025SU,SCH09,PRG0903,2025-03-24,Submitted
APP00287,STU00090,2025FA,SCH11,PRG1102,2025-05-06,Submitted
APP00288,STU00097,2026WI,SCH01,PRG0101,2025-08-29,Submitted
APP00289,STU00104,2026SU,SCH02,PRG0203,2026-02-10,Submitted
APP00290,STU00111,2025WI,SCH04,PRG0402,2024-11-25,Submitted
APP00291,STU00118,2025SU,SCH06,PRG0601,2025-03-30,Submitted
APP00292,STU00125,2025FA,SCH07,PRG0703,2025-06-13,Submitted
APP00293,STU00132,2026WI,SCH09,PRG0902,2025-09-15,Submitted
APP00294,STU00139,2026SU,SCH11,PRG1101,2026-01-12,Submitted
APP00295,STU00146,2025WI,SCH12,PRG1203,2024-09-14,Submitted
APP00296,STU00153,2025SU,SCH02,PRG0202,2025-02-06,Submitted
APP00297,STU00160,2025FA,SCH04,PRG0401,2025-05-01,Submitted
APP00298,STU00167,2026WI,SCH05,PRG0503,2025-11-23,Submitted
APP00299,STU00174,2026SU,SCH07,PRG0702,2026-01-07,Submitted
APP00300,STU00181,2025WI,SCH09,PRG0901,2024-11-07,Submitted
