admission_id,application_id,decision_date,decision_status
ADM00171,APP00259,2026-01-01,Admitted
ADM00172,APP00260,2024-10-27,Admitted
ADM00173,APP00261,2025-02-26,Admitted
ADM00174,APP00262,2025-08-07,Admitted
ADM00175,APP00264,2026-02-14,Admitted
ADM00176,APP00265,2024-10-04,Admitted
ADM00177,APP00266,2025-04-13,Admitted
ADM00178,APP00268,2025-12-02,Admitted
ADM00179,APP00269,2026-03-26,Admitted
ADM00180,APP00270,2024-11-15,Admitted
ADM00181,APP00271,2025-02-13,Admitted
ADM00182,APP00272,2025-08-07,Admitted
ADM00183,APP00273,2025-10-27,Admitted
ADM00184,APP00275,2024-10-30,Admitted
ADM00185,APP00276,2025-04-06,Admitted
ADM00186,APP00278,2025-12-05,Admitted
ADM00187,APP00280,2024-10-17,Admitted
ADM00188,APP00282,2025-08-15,Admitted
ADM00189,APP00283,2025-09-22,Admitted
ADM00190,APP00287,2025-05-26,Admitted
ADM00191,APP00289,2026-02-25,Admitted
ADM00192,APP00290,2024-12-07,Admitted
ADM00193,APP00291,2025-05-14,Admitted
ADM00194,APP00292,2025-06-25,Admitted
ADM00195,APP00293,2025-10-03,Admitted
ADM00196,APP00294,2026-02-19,Admitted
ADM00197,APP00295,2024-10-07,Admitted
ADM00198,APP00296,2025-03-01,Admitted
ADM00199,APP00298,2026-01-04,Admitted
ADM00200,APP00299,2026-01-21,Admitted
ADM00201,APP00300,2024-12-17,Admitted
